Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cheb_0_dropout,3.22e-02,8.02e-02,0,0,0,0,0.2
params_cheb_0_units,175.67,112.25,120,80,320,80,360
params_cheb_1_dropout,0.33,0.15,0.4,0.2,0.4,0,0.5
params_cheb_1_units,370.12,70.44,400,400,400,200,400
params_dense_0_dropout,0.2,4.33e-02,0.2,0.2,0.2,0.2,0.2
params_dense_0_units,302.65,71.18,300,250,300,250,450
params_knn_k,12.61,4.05,16,8,16,8,16
params_learning_rate,8.11e-03,2.00e-03,8.60e-03,7.79e-03,9.28e-03,2.99e-03,9.97e-03
params_num_dense_layers,0.99,7.65e-02,1,1,1,1,1
params_num_gnn_layers,1.99,7.65e-02,2,2,2,2,2
