param_count,model_size_mb,training_memory_mb,params
57574708,27.453760147094727,1721.3296966552734,"{'skip_0_1': True, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'rmsprop'}"
57574708,27.453760147094727,1721.3296966552734,"{'skip_0_1': True, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'lion'}"
57574708,27.453760147094727,1721.3296966552734,"{'skip_0_1': True, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'lion'}"
57574708,27.453760147094727,1721.3296966552734,"{'skip_0_1': True, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'adam'}"
57574708,27.453760147094727,1721.3296966552734,"{'skip_0_1': True, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'rmsprop'}"
57574708,27.453760147094727,1721.3296966552734,"{'skip_0_1': True, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'adam'}"
57574708,27.453760147094727,1721.3296966552734,"{'skip_0_1': True, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'adamw'}"
57574708,27.453760147094727,1721.3296966552734,"{'skip_0_1': True, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'adam'}"
57574708,27.453760147094727,1721.3296966552734,"{'skip_0_1': True, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'rmsprop'}"
57533428,27.4340763092041,1720.8587493896484,"{'skip_0_1': False, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'adamw'}"
57533428,27.4340763092041,1720.8587493896484,"{'skip_0_1': False, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'rmsprop'}"
57533428,27.4340763092041,1720.8587493896484,"{'skip_0_1': False, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'adamw'}"
57533428,27.4340763092041,1720.8587493896484,"{'skip_0_1': False, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'adamw'}"
57533428,27.4340763092041,1720.8587493896484,"{'skip_0_1': False, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'adam'}"
57533428,27.4340763092041,1720.8587493896484,"{'skip_0_1': False, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'lion'}"
57533428,27.4340763092041,1720.8587493896484,"{'skip_0_1': False, 'skip_0_2': True, 'skip_1_2': True, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'adamw'}"
57524916,27.430017471313477,1720.1124114990234,"{'skip_0_1': True, 'skip_0_2': True, 'skip_1_2': False, 'skip_0_3': True, 'skip_1_3': True, 'skip_2_3': True, 'optimizer': 'adam'}"
