Parameter,|corr|
params_lidar_kernel_width_2,0.16803831754699056
params_lidar_kernel_height_2,0.16803831754699056
params_lidar_kernel_width_0,0.06320205198386115
params_pool_dim1,0.0559693256169672
params_pool_dim2,0.05531741766574081
params_lidar_layers,0.04553777431353819
params_batch_size,0.02785681812915789
params_lidar_filter_decay_factor,0.027213318665042976
params_lidar_kernel_height_0,0.02437453020600264
params_learning_rate,0.019113735840157395
params_lidar_kernel_width_1,0.018118757430847766
params_lidar_kernel_height_1,0.018118757430847766
params_lidar_filters_layer_0,0.0020145264423175164
params_lidar_kernel_decay_factor,0.0014921738913000115
