Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,243.2,172.7,128,128,512,128,512
params_conv1d_0_kernel_size,2.08,0.28,2,2,2,2,3
params_conv1d_1_filters,292.27,137.6,256,256,320,128,512
params_conv1d_1_kernel_size,3.08,0.53,3,3,3,2,4
params_conv1d_2_filters,199.47,169.98,64,64,256,64,512
params_conv1d_2_kernel_size,4.78,2.29,4,3,8,2,8
params_conv1d_3_filters,88.53,47.27,64,64,128,64,134.4
params_conv1d_3_kernel_size,4.73,0.73,5,5,5,3,5
params_dense_1_dropout,0.21,5.55e-02,0.2,0.2,0.2,0.1,0.3
params_dense_1_units,308.33,34.65,300,300,300,297.5,400
params_dense_2_dropout,0.33,0.11,0.4,0.3,0.4,0.1,0.5
params_dense_2_units,377.5,47.32,400,400,400,250,400
params_lr,5.07e-05,1.16e-05,4.77e-05,4.42e-05,5.60e-05,3.41e-05,7.34e-05
params_pool_size_1,4.2,1.34,5,2,5,2,5
params_pool_size_2,3.12,0.61,3,3,3.25,2,4
params_pool_size_3,2.4,0.69,2,2,3,2,4
