Parameter,Category,Fraction,Count
params_conv1d_0_act,gelu,0.5751,111
params_conv1d_0_act,relu,0.2902,56
params_conv1d_0_act,tanh,0.0466,9
params_conv1d_0_act,silu,0.0363,7
params_conv1d_0_act,none,0.0259,5
params_conv1d_0_act,elu,0.0207,4
params_conv1d_0_act,sigmoid,0.0052,1
params_conv1d_1_act,tanh,0.4974,95
params_conv1d_1_act,gelu,0.3403,65
params_conv1d_1_act,elu,0.0576,11
params_conv1d_1_act,silu,0.0419,8
params_conv1d_1_act,relu,0.0262,5
params_conv1d_1_act,none,0.0209,4
params_conv1d_1_act,sigmoid,0.0157,3
params_dense_0_act,tanh,0.4382,78
params_dense_0_act,silu,0.3034,54
params_dense_0_act,gelu,0.1798,32
params_dense_0_act,relu,0.0281,5
params_dense_0_act,elu,0.0169,3
params_dense_0_act,none,0.0169,3
params_dense_0_act,sigmoid,0.0169,3
params_pooling_type,max,0.9896,191
params_pooling_type,average,0.0104,2
