Parameter,|corr|
params_lidar_kernel_width_2,0.16179202836583378
params_lidar_kernel_width_1,0.13615924410516433
params_coord_dropout_layer_2,0.11577536915701413
params_coord_dropout_layer_4,0.08893521794011061
params_coord_units_layer_0,0.08319491642885754
params_learning_rate,0.0667349397989408
params_lidar_kernel_height_2,0.0650460761798365
params_lidar_kernel_height_1,0.06076590735643753
params_coord_decay_factor,0.05656180878075959
params_lidar_filter_decay_factor,0.04394141429338515
params_lidar_kernel_width_0,0.03965846186092254
params_lidar_filters_layer_0,0.038662410783506795
params_pool_dim1,0.03284817061841729
params_pool_dim2,0.03179574524800559
params_coord_dropout_layer_1,0.030552244453190915
params_coord_dropout_layer_0,0.030339967255917834
params_coord_dropout_layer_3,0.028611141996795326
params_coord_layers,0.015094337020552623
params_lidar_kernel_height_0,0.009951377768866065
params_batch_size,0.007071282959222509
params_lidar_layers,0.006688219049843956
params_lidar_kernel_decay_factor,0.0002202951696786809
