Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cnn_dense_0_filters,450,124.32,450.0,375.0,550.0,277.5,600.0
params_cnn_dense_1_filters,445.83,113.73,450.0,375.0,525.0,300.0,600.0
params_cnn_dense_2_filters,300,70.71,300.0,275.0,325.0,255.0,345.0
params_conv1d_0_filters,243.06,48.21,256.0,256.0,256.0,128.0,256.0
params_conv1d_0_kernel_size,5.01,0.53,5.0,5.0,5.0,5.0,5.0
params_conv1d_1_filters,138.67,65.37,128.0,128.0,128.0,128.0,256.0
params_conv1d_1_kernel_size,5.38,1.31,5.0,5.0,5.0,5.0,9.0
params_conv1d_2_filters,458.51,125.71,512.0,512.0,512.0,128.0,512.0
params_conv1d_2_kernel_size,6.08,1.16,7.0,5.0,7.0,5.0,7.0
params_conv1d_3_filters,123.11,69.1,128.0,64.0,128.0,64.0,166.4
params_conv1d_3_kernel_size,5.86,2.88,5.0,3.0,9.0,3.0,9.0
params_dense_0_dropout,0.19,4.05e-02,0.2,0.2,0.2,0.2,0.2
params_dense_0_units,429.81,65.55,450.0,400.0,450.0,310.0,500.0
params_dense_1_dropout,0.2,0.14,0.2,0.15,0.2,0.0,0.4
params_dense_1_units,337.12,52.88,350.0,300.0,350.0,250.0,402.5
params_dense_2_dropout,3.51e-03,2.65e-02,0.0,0.0,0.0,0.0,0.0
params_dense_2_units,509.65,62.99,500.0,450.0,550.0,400.0,600.0
params_num_conv_layers,3.97,0.21,4.0,4.0,4.0,4.0,4.0
params_num_dense_layers,2.16,0.52,2.0,2.0,2.0,2.0,3.0
params_pool_size_0,2.15,0.48,2.0,2.0,2.0,2.0,3.0
params_pool_size_1,2.04,1.0,2.0,1.0,3.0,1.0,3.0
params_pool_size_2,1.12,0.45,1.0,1.0,1.0,1.0,2.0
params_pool_size_3,3.49,0.87,4.0,3.0,4.0,2.0,4.0
