Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,594.65,448.12,1024,64,1024,64,1024
params_conv1d_0_kernel_size,3.84,1.74,3,3,5,2,7
params_conv1d_1_filters,306.93,158.89,256,256,256,256,512
params_conv1d_1_kernel_size,6.09,2.21,6,5,8,2,9
params_dense_0_dropout,0.16,8.21e-02,0.2,0.1,0.2,0.1,0.3
params_dense_0_units,267.34,84.24,250,200,325,150,425
params_learning_rate,1.05e-03,6.25e-04,9.51e-04,7.00e-04,1.28e-03,4.92e-04,1.74e-03
params_num_conv_layers,1.96,0.2,2,2,2,2,2
params_num_dense_layers,0.87,0.34,1,1,1,0,1
params_pool_size_0,3.85,0.51,4,4,4,3,4
params_pool_size_1,3.69,0.65,4,4,4,2,4
