"epoch","train_loss","val_loss","train_accuracy","val_accuracy"
1,4.337247371673584,3.8283867835998535,0.1599106639623642,0.20254379510879517
2,3.152414560317993,2.9517064094543457,0.2297040820121765,0.25821933150291443
3,2.7436020374298096,2.5354299545288086,0.30720266699790955,0.3330933451652527
4,2.5279107093811035,2.270082712173462,0.34773868322372437,0.38780897855758667
5,2.351562261581421,2.15147066116333,0.38905638456344604,0.4103671610355377
6,2.210399866104126,2.0730931758880615,0.42010051012039185,0.44372451305389404
7,2.0905091762542725,1.9728564023971558,0.450139582157135,0.4799616038799286
8,2.0034217834472656,1.8774077892303467,0.4662199914455414,0.5068394541740417
9,1.9138519763946533,1.8170114755630493,0.4830820858478546,0.5303575992584229
10,1.8506157398223877,1.7635996341705322,0.49391400814056396,0.5493160486221313
11,1.7981864213943481,1.7333192825317383,0.5077610015869141,0.5617950558662415
12,1.7485806941986084,1.71389639377594,0.5149078965187073,0.5723541975021362
13,1.70050048828125,1.6896560192108154,0.5247347950935364,0.5737940669059753
14,1.6627888679504395,1.692044973373413,0.526186466217041,0.5730741620063782
15,1.6275393962860107,1.6792376041412354,0.5420435667037964,0.577633798122406
16,1.5916186571121216,1.661512017250061,0.5452819466590881,0.5766738653182983
17,1.5620927810668945,1.6739782094955444,0.549860417842865,0.5761939287185669
18,1.5322630405426025,1.6706395149230957,0.5517587661743164,0.5759539008140564
19,1.5114659070968628,1.669001579284668,0.5670574903488159,0.5769138336181641
20,1.4605120420455933,1.6433684825897217,0.5777778029441833,0.5905927419662476
21,1.4281902313232422,1.638092279434204,0.5893914103507996,0.5901128053665161
22,1.4221009016036987,1.630323886871338,0.58726966381073,0.5934725403785706
23,1.4081028699874878,1.630645990371704,0.591289758682251,0.5953923463821411
24,1.4065550565719604,1.6369436979293823,0.5974316000938416,0.5922726392745972
25,1.4012709856033325,1.6338858604431152,0.5930764675140381,0.594672441482544
26,1.3714720010757446,1.624236822128296,0.6063651442527771,0.599951982498169
27,1.3804759979248047,1.6253437995910645,0.600558340549469,0.6016318798065186
28,1.3765122890472412,1.6249715089797974,0.6022334098815918,0.6011518836021423
29,1.367286205291748,1.6246776580810547,0.6027917265892029,0.6004319787025452
30,1.3658136129379272,1.6245595216751099,0.6032384037971497,0.6004319787025452
31,1.3604872226715088,1.6243902444839478,0.6087102293968201,0.6009119153022766
32,1.3607176542282104,1.6235541105270386,0.6052484512329102,0.60211181640625
33,1.3626569509506226,1.6239312887191772,0.6096035838127136,0.599951982498169
34,1.3639988899230957,1.6242073774337769,0.6023450493812561,0.6009119153022766
35,1.362539529800415,1.6240752935409546,0.6055834889411926,0.60211181640625
36,1.3563578128814697,1.6241704225540161,0.6079285144805908,0.6016318798065186
37,1.3627148866653442,1.6244311332702637,0.6077051758766174,0.6028317809104919
38,1.356326699256897,1.625010371208191,0.6048017740249634,0.6013919115066528
