Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,223.49,226.09,64,64,512,64,512
params_conv1d_0_kernel_size,7.92,1.55,9,7,9,6,9
params_conv1d_1_filters,225.1,145.47,256,128,256,64,512
params_conv1d_1_kernel_size,6.81,2.45,8,5,9,2.85,9
params_dense_0_dropout,4.24e-02,7.47e-02,0,0,0.1,0,0.2
params_dense_0_units,192.8,91.69,175,150,200,100,450
params_learning_rate,2.48e-03,1.26e-03,2.28e-03,1.95e-03,2.99e-03,4.76e-04,4.78e-03
params_num_conv_layers,1.92,0.27,2,2,2,1,2
params_num_dense_layers,0.94,0.25,1,1,1,0.1,1
params_pool_size_0,3.78,0.66,4,4,4,2,4
params_pool_size_1,1.69,1.03,1,1,2,1,4
