Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,512,0,512,512,512,512,512
params_conv1d_0_kernel_size,2.97,0.18,3,3,3,3,3
params_conv1d_1_filters,251.59,23.56,256,256,256,256,256
params_conv1d_1_kernel_size,3.53,0.5,4,3,4,3,4
params_conv1d_2_filters,259.31,56.77,256,256,256,256,256
params_conv1d_2_kernel_size,3.12,0.5,3,3,3,3,4
params_conv1d_3_filters,121.38,19.66,128,128,128,64,128
params_conv1d_3_kernel_size,3.5,0.63,3,3,4,3,5
params_dense_0_dropout,0.5,0,0.5,0.5,0.5,0.5,0.5
params_dense_0_units,350,0,350,350,350,350,350
params_dense_1_dropout,0.25,7.07e-02,0.25,0.23,0.28,0.2,0.3
params_dense_1_units,200,0,200,200,200,200,200
params_ffn_units,270.34,82.23,256,256,256,236.8,512
params_key_dim,61.24,9.06,64,64,64,32,64
params_lr,6.28e-05,4.33e-06,6.36e-05,5.89e-05,6.56e-05,5.62e-05,6.96e-05
params_num_dense_layers,1.03,0.18,1,1,1,1,1
params_num_heads,7.31,1.52,8,8,8,4,8
params_pool_size_1,5,0,5,5,5,5,5
params_pool_size_2,3.22,0.42,3,3,3,3,4
params_pool_size_3,3.95,0.29,4,4,4,4,4
