fold,best_epoch,best_train_loss,best_val_loss,best_train_accuracy,best_val_accuracy,val_loss,val_accuracy
1,47,1.4284003973007202,1.6152046918869019,0.5991160273551941,0.5767857432365417,1.6139227151870728,0.574999988079071
2,45,1.4169743061065674,1.7620588541030884,0.6036298871040344,0.550000011920929,1.761008858680725,0.5482142567634583
3,40,1.4499647617340088,1.66280996799469,0.5938498973846436,0.6053571701049805,1.6583925485610962,0.6053571701049805
4,34,1.3822654485702515,1.6615062952041626,0.60221928358078,0.5964285731315613,1.6552495956420898,0.5892857313156128
5,37,1.4191291332244873,1.867676019668579,0.5926274061203003,0.5321428775787354,1.8664093017578125,0.5285714268684387
6,42,1.421850323677063,1.754418969154358,0.5955426096916199,0.5625,1.7537517547607422,0.5625
7,42,1.3624927997589111,1.6062756776809692,0.6104946136474609,0.5821428298950195,1.6008578538894653,0.5821428298950195
8,33,1.430289387702942,1.7878388166427612,0.5996802449226379,0.5589285492897034,1.764742374420166,0.5571428537368774
9,45,1.3340870141983032,1.5927826166152954,0.6184878945350647,0.5946428775787354,1.5920394659042358,0.5874999761581421
10,44,1.429274559020996,1.6775226593017578,0.5992100834846497,0.5625,1.6757264137268066,0.5553571581840515
11,40,1.3546135425567627,1.4871183633804321,0.6041000485420227,0.612500011920929,1.482569932937622,0.6089285612106323
12,25,1.5317095518112183,1.608735203742981,0.5662967562675476,0.5839285850524902,1.5575298070907593,0.5767857432365417
13,41,1.3648008108139038,1.7291680574417114,0.6045702695846558,0.5660714507102966,1.7173137664794922,0.5625
14,41,1.3268582820892334,1.6999081373214722,0.6174534559249878,0.5910714268684387,1.698309302330017,0.5874999761581421
15,42,1.292040467262268,1.6513361930847168,0.6293370723724365,0.5527728199958801,1.6497724056243896,0.5456171631813049
16,42,1.3415058851242065,1.7578991651535034,0.6117536425590515,0.5652951598167419,1.7568246126174927,0.5635062456130981
17,37,1.4001795053482056,1.6522599458694458,0.6000000238418579,0.5670840740203857,1.6500385999679565,0.5635062456130981
18,40,1.3291141986846924,1.7265808582305908,0.6177715063095093,0.5509839057922363,1.7217541933059692,0.5474060773849487
19,47,1.3509613275527954,1.7388948202133179,0.6168312430381775,0.5652951598167419,1.7382745742797852,0.5635062456130981
20,44,1.3751014471054077,1.771243691444397,0.6101551651954651,0.5688729882240295,1.7710624933242798,0.5599284172058105
