Parameter,Mean,Std,Min,25%,Median,75%,Max
params_batch_size,45.91304347826087,40.28113762431715,32.0,32.0,32.0,32.0,256.0
params_cnn_filters_layer_0,80.43478260869566,29.54142264979656,24.0,57.0,88.0,100.0,128.0
params_cnn_filters_layer_1,63.2,30.799711398359275,20.0,46.0,66.0,75.0,124.0
params_cnn_filters_layer_2,57.714285714285715,24.64220150956678,24.0,42.0,48.0,80.0,88.0
params_cnn_filters_layer_3,86.4,31.949960876345372,48.0,60.0,92.0,108.0,124.0
params_cnn_kernel_height_0,3.239130434782609,1.6081014701082301,1.0,2.0,3.0,3.0,7.0
params_cnn_kernel_height_1,3.9,1.728840330651992,1.0,3.0,4.0,5.5,6.0
params_cnn_kernel_height_2,3.4285714285714284,1.511857892036909,2.0,2.5,3.0,4.0,6.0
params_cnn_kernel_height_3,3.6,1.6733200530681511,1.0,3.0,4.0,5.0,5.0
params_cnn_kernel_width_0,5.108695652173913,1.6087021804280646,1.0,4.0,5.5,6.0,7.0
params_cnn_kernel_width_1,4.0,1.8257418583505538,1.0,3.0,4.0,5.75,6.0
params_cnn_kernel_width_2,5.142857142857143,1.7728105208558367,2.0,4.5,5.0,6.5,7.0
params_cnn_kernel_width_3,3.0,2.345207879911715,1.0,1.0,2.0,5.0,6.0
params_cnn_num_layers,1.4782608695652173,1.00529996484814,1.0,1.0,1.0,1.0,4.0
params_cnn_pool_size_dim1_0,14.152173913043478,7.299824628956956,1.0,12.25,18.0,19.0,20.0
params_cnn_pool_size_dim1_1,1.4,0.6992058987801011,1.0,1.0,1.0,1.75,3.0
params_cnn_pool_size_dim1_2,1.4285714285714286,0.5345224838248488,1.0,1.0,1.0,2.0,2.0
params_cnn_pool_size_dim1_3,1.6,0.5477225575051661,1.0,1.0,2.0,2.0,2.0
params_cnn_pool_size_dim2_0,19.108695652173914,17.804154647309545,1.0,9.0,15.0,23.75,83.0
params_cnn_pool_size_dim2_1,3.2,3.614784456460256,1.0,2.0,2.0,2.0,13.0
params_cnn_pool_size_dim2_2,2.2857142857142856,1.1126972805283737,1.0,1.5,2.0,3.0,4.0
params_cnn_pool_size_dim2_3,1.8,0.8366600265340756,1.0,1.0,2.0,2.0,3.0
params_dense_1_units,298.1463414634146,158.4628601558753,64.0,192.0,256.0,448.0,512.0
params_dense_2_units,175.1578947368421,87.55015271126649,64.0,128.0,128.0,224.0,448.0
params_learning_rate,0.001438129474568895,0.001474506638374656,2.736260329436643e-05,0.00023382114433460291,0.0008658605056909613,0.002197890238898155,0.005912738768528795
params_num_dense_layers,1.3043478260869565,0.6623045696620016,0.0,1.0,1.0,2.0,2.0
