Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv2d_block_0_filters,44,24,48,28,64,18.4,64
params_conv2d_block_0_layers,1.75,0.5,2,1.75,2,1.15,2
params_conv2d_block_1_filters,96,45.25,96,80,112,67.2,124.8
params_conv2d_block_1_layers,2,0,2,2,2,2,2
params_conv2d_block_2_filters,128,,128,128,128,128,128
params_conv2d_block_2_layers,1,,1,1,1,1,1
params_conv2d_block_3_filters,No data,No data,No data,No data,No data,No data,No data
params_conv2d_block_3_layers,No data,No data,No data,No data,No data,No data,No data
params_dense_0_dropout,0.1,,0.1,0.1,0.1,0.1,0.1
params_dense_0_units,64,,64,64,64,64,64
params_learning_rate,3.61e-03,3.26e-03,3.54e-03,1.27e-03,5.88e-03,3.92e-04,6.92e-03
params_num_conv_blocks,1.75,0.96,1.5,1,2.25,1,2.85
params_num_dense_layers,0.25,0.5,0,0,0.25,0,0.85
