fold,best_epoch,best_train_loss,best_val_loss,best_train_accuracy,best_val_accuracy,val_loss,val_accuracy
1,47,1.3200678825378418,1.6691049337387085,0.6245781183242798,0.5687500238418579,1.6653624773025513,0.5642856955528259
2,50,1.4680300951004028,1.700226068496704,0.5855668187141418,0.5883928537368774,1.6995010375976562,0.5857142806053162
3,23,1.5431195497512817,1.8250938653945923,0.568493127822876,0.5491071343421936,1.809319257736206,0.5419642925262451
4,50,1.4005128145217896,1.698770523071289,0.604129433631897,0.5687500238418579,1.698770523071289,0.5687500238418579
5,44,1.3727898597717285,1.642676591873169,0.6031761765480042,0.5773011445999146,1.6402469873428345,0.5755138397216797
6,45,1.370557188987732,1.5304596424102783,0.6054590344429016,0.6058981418609619,1.5178824663162231,0.6032171845436096
7,42,1.3640058040618896,1.7365330457687378,0.6098263263702393,0.5665773153305054,1.7341779470443726,0.561215341091156
8,47,1.3151906728744507,1.7178750038146973,0.6243176460266113,0.5728328824043274,1.7167346477508545,0.5710455775260925
9,39,1.364760160446167,1.7059627771377563,0.6132010221481323,0.5522788166999817,1.7043203115463257,0.5478105545043945
10,39,1.4329991340637207,1.7697663307189941,0.5960297584533691,0.5638963580131531,1.7646985054016113,0.5603216886520386
