"epoch","train_loss","val_loss","train_accuracy","val_accuracy"
1,3.8209235668182373,4.265049457550049,0.25639307498931885,0.08063355088233948
2,2.997253656387329,4.050417423248291,0.3233947455883026,0.09023278206586838
3,2.5841710567474365,3.1895358562469482,0.3859296441078186,0.19102472066879272
4,2.2838034629821777,2.093400478363037,0.44321608543395996,0.5046796202659607
5,2.083975315093994,1.8498963117599487,0.485873818397522,0.5596352219581604
6,1.9171290397644043,1.7821787595748901,0.5159128904342651,0.5697144269943237
7,1.7684779167175293,1.7405544519424438,0.5547738671302795,0.5723541975021362
8,1.6245187520980835,1.7182013988494873,0.5755444169044495,0.5697144269943237
9,1.5025850534439087,1.689083218574524,0.6077051758766174,0.575473964214325
10,1.3762545585632324,1.6673392057418823,0.6406477093696594,0.5788336992263794
11,1.2604389190673828,1.6610366106033325,0.6627582311630249,0.5853132009506226
12,1.1332237720489502,1.699394702911377,0.6891122460365295,0.5735540986061096
13,1.0157400369644165,1.7115745544433594,0.725628137588501,0.5740340948104858
14,0.9080359935760498,1.7388707399368286,0.7544388771057129,0.5730741620063782
15,0.8020032048225403,1.7411777973175049,0.7825795412063599,0.5795536637306213
16,0.7192279100418091,1.7562479972839355,0.8113902807235718,0.5769138336181641
17,0.6681373119354248,1.779014229774475,0.8240089416503906,0.5793136358261108
