Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_kernel_size,4,2.02,3,3,4,3,7
params_conv1d_1_kernel_size,5.4,2.75,4,3,8,3,9.8
params_conv1d_2_kernel_size,4.4,0.91,4,4,4,4,6
params_conv1d_3_kernel_size,8.92,1.19,9,9,9,6.4,10
params_lr,1.15e-04,3.01e-05,1.06e-04,1.02e-04,1.08e-04,9.38e-05,1.82e-04
params_pool_size_0,3.72,0.54,4,3,4,3,4
params_pool_size_1,4.12,1.01,5,3,5,3,5
params_pool_size_2,3.4,0.5,3,3,4,3,4
params_pool_size_3,3.24,0.44,3,3,3,3,4
params_seed,892,161.79,960,930,960,498,968
