Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_layer_0_filters,52.58,22.48,60,30,60,20,90
params_conv1d_layer_0_kernel_size,2.56,1.35,2,2,3,1,5
params_conv1d_layer_1_filters,72.12,29.85,90,60,90,10,100
params_conv1d_layer_1_kernel_size,3.38,1.68,3.5,2,5,1,5
params_conv1d_layer_2_filters,46.67,18.43,40,40,57.5,20,80
params_conv1d_layer_2_kernel_size,1.88,0.95,2,1,2,1,3.75
params_conv1d_layer_3_filters,55,24.0,60,40,67.5,20,97.5
params_conv1d_layer_3_kernel_size,3.27,1.17,4,2.25,4,1,5
params_dense_as_conv1d_after_concat_filters,124.62,55.47,120,80,160,52,200
params_dense_as_conv1d_layer_0_filters,643.18,326.51,800,325,900,100,950
params_dense_as_conv1d_layer_1_filters,377.12,224.82,300,250,450,50,905
params_dense_as_conv1d_layer_2_filters,534.78,241.03,625,375,687.5,100,900
params_lr,1.12e-04,1.95e-04,3.67e-05,2.27e-05,7.86e-05,4.97e-06,5.57e-04
params_max_dense_layers,2.59,0.68,3,2,3,1,3
params_max_pool_size,16.88,11.41,15,10,20,5,40
params_max_pool_size_concat,2.77,0.73,3,2,3,2,4
params_strides_layer_0,1.35,0.48,1,1,2,1,2
params_strides_layer_1,1.58,0.5,2,1,2,1,2
params_strides_layer_2,1.38,0.49,1,1,2,1,2
params_strides_layer_3,1.03,0.17,1,1,1,1,1
