Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,255.28,36.73,256,256,256,256,256
params_conv1d_0_kernel_size,2.01,0.11,2,2,2,2,2
params_conv1d_1_filters,128.72,78.08,128,128,128,64,128
params_conv1d_1_kernel_size,2,0,2,2,2,2,2
params_conv1d_2_filters,77.66,67.86,64,64,64,64,128
params_conv1d_2_kernel_size,2.01,0.11,2,2,2,2,2
params_conv1d_3_filters,92.76,91.03,64,64,64,64,256
params_conv1d_3_kernel_size,2.01,0.11,2,2,2,2,2
params_dense_1_units,296.74,15.21,300,300,300,290,300
params_dense_2_units,202.47,8.7,200,200,200,200,210
params_lr,4.81e-05,9.80e-05,3.63e-05,2.93e-05,4.36e-05,2.15e-05,6.17e-05
params_pool_size_0,2.01,0.11,2,2,2,2,2
params_pool_size_1,2.15,0.36,2,2,2,2,3
params_pool_size_2,2.01,0.11,2,2,2,2,2
params_pool_size_3,2,0,2,2,2,2,2
