Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,119.65,24.01,128,128,128,64,128
params_conv1d_0_kernel_size,4.22,1.18,4,4,5,1,6
params_conv1d_1_filters,34.04,8.96,32,32,32,32,49.6
params_conv1d_1_kernel_size,4.47,1.24,4,4,5,2.45,6
params_dense_0_dropout,0.32,0.1,0.3,0.3,0.4,0,0.4
params_dense_0_units,126.54,39.67,125,100,150,75,200
params_learning_rate,1.55e-03,9.42e-04,1.54e-03,1.25e-03,1.91e-03,3.63e-04,2.33e-03
params_num_conv_layers,1.96,0.2,2,2,2,2,2
params_num_dense_layers,0.99,9.33e-02,1,1,1,1,1
params_pool_size_0,2.97,0.5,3,3,3,2,4
params_pool_size_1,2.93,0.29,3,3,3,2,3
