Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,140.8,196.28,64,64,64,64,512
params_conv1d_0_kernel_size,4.61,0.83,5,4,5,3,5.8
params_conv1d_1_filters,868.34,277.66,1024,512,1024,243.2,1024
params_conv1d_1_kernel_size,8.16,0.99,8,8,9,7,9
params_dense_0_dropout,0.19,3.58e-02,0.2,0.2,0.2,0.1,0.2
params_dense_0_units,429.35,70.29,450,400,475,300,500
params_learning_rate,7.85e-04,8.24e-04,6.50e-04,5.66e-04,8.29e-04,4.47e-04,1.09e-03
params_num_conv_layers,1.97,0.17,2,2,2,2,2
params_num_dense_layers,0.98,0.14,1,1,1,1,1
params_pool_size_0,3.49,0.57,4,3,4,3,4
params_pool_size_1,2.57,0.53,3,2,3,2,3
