"Parameter","Category","Fraction","Count"
params_conv1d_0_act,swish,0.477,83
params_conv1d_0_act,relu,0.4598,80
params_conv1d_0_act,tanh,0.0402,7
params_conv1d_0_act,sigmoid,0.023,4
params_conv1d_1_act,relu,0.4885,85
params_conv1d_1_act,swish,0.4885,85
params_conv1d_1_act,sigmoid,0.0172,3
params_conv1d_1_act,tanh,0.0057,1
params_conv1d_2_act,relu,0.4943,86
params_conv1d_2_act,swish,0.3161,55
params_conv1d_2_act,tanh,0.1667,29
params_conv1d_2_act,sigmoid,0.023,4
params_conv1d_3_act,swish,0.7989,139
params_conv1d_3_act,relu,0.1667,29
params_conv1d_3_act,tanh,0.0287,5
params_conv1d_3_act,sigmoid,0.0057,1
params_dense_0_act,swish,0.908,158
params_dense_0_act,sigmoid,0.0402,7
params_dense_0_act,tanh,0.0345,6
params_dense_0_act,relu,0.0172,3
params_dense_1_act,tanh,0.6494,113
params_dense_1_act,swish,0.2931,51
params_dense_1_act,relu,0.0287,5
params_dense_1_act,sigmoid,0.0287,5
params_output_strategy,flatten,0.9655,168
params_output_strategy,global_average_pooling,0.0345,6
