"epoch","train_loss","val_loss","train_accuracy","val_accuracy"
1,3.867291212081909,3.4385201930999756,0.17264097929000854,0.2414206862449646
2,2.8198401927948,2.771022319793701,0.28944724798202515,0.34101271629333496
3,2.481107473373413,2.28719162940979,0.3525404930114746,0.4199663996696472
4,2.2557153701782227,2.105794906616211,0.399441659450531,0.46052315831184387
5,2.093458414077759,1.9497325420379639,0.4329424798488617,0.5053995847702026
6,1.9865518808364868,1.8851633071899414,0.4546063542366028,0.5029997825622559
7,1.9090362787246704,1.8028701543807983,0.4732551574707031,0.5130789279937744
8,1.8361501693725586,1.7607579231262207,0.4897822439670563,0.5382769107818604
9,1.783838152885437,1.7076001167297363,0.499385803937912,0.569474458694458
10,1.7394540309906006,1.714922547340393,0.5086543560028076,0.5526757836341858
11,1.7028604745864868,1.7403901815414429,0.5128978490829468,0.5418766736984253
12,1.669316053390503,1.709019422531128,0.5140145421028137,0.5536357164382935
13,1.5783727169036865,1.6605706214904785,0.5516471266746521,0.5903527736663818
14,1.5431846380233765,1.6483242511749268,0.5610273480415344,0.586513102054596
15,1.52800452709198,1.6430246829986572,0.5624790787696838,0.596832275390625
16,1.5031111240386963,1.6470160484313965,0.5713009238243103,0.5913127064704895
17,1.4915096759796143,1.6300593614578247,0.5687325596809387,0.6018718481063843
18,1.475703477859497,1.631739616394043,0.579229474067688,0.5944324731826782
19,1.4696035385131836,1.6301636695861816,0.5794528126716614,0.594672441482544
20,1.444954514503479,1.6416460275650024,0.5843662619590759,0.5908327102661133
21,1.4359424114227295,1.6282753944396973,0.5888330340385437,0.60211181640625
22,1.4249029159545898,1.6177791357040405,0.5902847647666931,0.6011518836021423
23,1.4152426719665527,1.614579677581787,0.5907314419746399,0.604991614818573
24,1.4112557172775269,1.6156033277511597,0.5870463252067566,0.6045116186141968
25,1.39939546585083,1.6191595792770386,0.5927414894104004,0.6028317809104919
26,1.4059436321258545,1.6180837154388428,0.588498055934906,0.6011518836021423
27,1.3947772979736328,1.617260456085205,0.5967615842819214,0.60211181640625
28,1.3977634906768799,1.6158663034439087,0.5975432991981506,0.6016318798065186
29,1.3915420770645142,1.615347146987915,0.5963149070739746,0.6025918126106262
