Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,231.72,160.83,128,128,256,64,512
params_conv1d_0_kernel_size,4.76,1.35,4,4,6,2,6
params_conv1d_1_filters,274.96,176.45,256,64,512,64,512
params_conv1d_1_kernel_size,5.78,0.64,6,6,6,4,6
params_conv1d_2_filters,448,153.47,512,512,512,64,512
params_conv1d_2_kernel_size,5.6,0.82,6,6,6,4,6
params_conv1d_3_filters,440.89,164.11,512,512,512,64,512
params_conv1d_3_kernel_size,2.56,1.34,2,2,2,2,6
params_dense_0_dropout,0.18,0.1,0.2,0.2,0.2,0,0.35
params_dense_0_units,544.23,49.65,550,500,600,450,600
params_dense_1_dropout,0.35,0.13,0.4,0.4,0.4,0,0.4
params_dense_1_units,355.26,74.34,350,300,400,295,420
params_dense_2_dropout,0.23,0.15,0.2,0.2,0.35,5.00e-02,0.4
params_dense_2_units,466.67,116.9,500,387.5,537.5,312.5,587.5
params_lr,4.83e-05,1.31e-05,4.33e-05,3.96e-05,5.43e-05,3.30e-05,7.23e-05
params_num_conv_layers,3.41,0.91,4,3,4,1.4,4
params_num_dense_layers,1.76,0.91,2,1,2,0,3
params_pool_size_0,6.07,1.53,6,5,8,3.4,8
params_pool_size_1,2.81,1.21,3,2,3,2,4
params_pool_size_2,6.56,1.0,7,6,7,5,8
params_pool_size_3,7.44,0.7,8,7,8,6,8
params_se_0_se_ratio,29.52,24.01,16,16,64,8,64
params_se_1_se_ratio,20.44,13.92,16,16,16,8,54.4
params_se_2_se_ratio,11.84,12.03,8,8,8,8,28.8
params_se_3_se_ratio,31.56,10.44,32,32,32,14.8,36.8
