"Parameter","Mean","Std","Min","25%","Median","75%","Max"
params_batch_size,53.53846153846154,50.18649984023769,32,32,32,40,256
params_coord_decay_factor,0.32209302325581396,0.1482455536805287,0,0.22500000000000003,0.30000000000000004,0.4,0.9
params_coord_dropout_layer_0,0.17790697674418604,0.10781374221116678,0,0.1,0.1,0.2,0.5
params_coord_dropout_layer_1,0.21739130434782608,0.17748796095675048,0,0.1,0.2,0.4,0.5
params_coord_dropout_layer_2,0.39333333333333337,0.1162919151265879,0.1,0.4,0.4,0.5,0.5
params_coord_dropout_layer_3,0.2222222222222222,0.17873008824606015,0,0.1,0.1,0.4,0.5
params_coord_dropout_layer_4,0.10000000000000002,0.1,0,0.05,0.1,0.15000000000000002,0.2
params_coord_layers,1.5813953488372092,1.111068550636461,1,1,1,2,5
params_coord_units_layer_0,430.13953488372096,110.04460729665601,64,448,448,512,512
params_learning_rate,0.0015547693858556093,0.001848350706262326,0.00005535091278608346,0.00043590235750703277,0.0009254149846885968,0.0019264581575396864,0.00883785211576629
params_lidar_filter_decay_factor,0.7220930232558139,0.18811833746854362,0.1,0.7000000000000001,0.8,0.8,0.9
params_lidar_filters_layer_0,82.79069767441861,18.8823704139258,16,80,80,96,128
params_lidar_kernel_decay_factor,0.6976744186046512,0.16731565391132908,0.1,0.6,0.7000000000000001,0.8,0.9
params_lidar_kernel_height_0,2.802325581395349,0.5492190700142386,1,3,3,3,3
params_lidar_kernel_height_1,1.6153846153846154,0.5063696835418333,1,1,2,2,2
params_lidar_kernel_height_2,1.4,0.5163977794943222,1,1,1,2,2
params_lidar_kernel_width_0,1.9651162790697674,0.389499661514756,1,2,2,2,3
params_lidar_kernel_width_1,1.4615384615384615,0.5188745216627708,1,1,1,2,2
params_lidar_kernel_width_2,1.5,0.5270462766947299,1,1,1.5,2,2
params_lidar_layers,1.2674418604651163,0.6584191156658084,1,1,1,1,3
params_pool_dim1,1.1046511627906976,0.30789875216841534,1,1,1,1,2
params_pool_dim2,2.9767441860465116,0.5936278134051277,1,3,3,3,4
