"epoch","train_loss","val_loss","train_accuracy","val_accuracy"
1,3.242377996444702,4.234903335571289,0.25080960988998413,0.02687785029411316
2,2.5439493656158447,3.421696424484253,0.3182579576969147,0.10943124443292618
3,2.2961854934692383,2.609006881713867,0.36917921900749207,0.3482121527194977
4,2.121560573577881,2.1080706119537354,0.4137353301048279,0.4542836546897888
5,1.9925187826156616,1.905724287033081,0.44366276264190674,0.5190784931182861
6,1.8951351642608643,1.8579622507095337,0.46510329842567444,0.5029997825622559
7,1.7996059656143188,1.805864691734314,0.4915689527988434,0.5404367446899414
8,1.72728431224823,1.751695990562439,0.5111111402511597,0.5531557202339172
9,1.6619328260421753,1.7465373277664185,0.5351200699806213,0.5471562147140503
10,1.584930181503296,1.7211323976516724,0.5484086871147156,0.5572354197502136
11,1.5305932760238647,1.7091869115829468,0.5580123066902161,0.5589152574539185
12,1.4834784269332886,1.7269768714904785,0.5683975219726562,0.5565154552459717
13,1.4297469854354858,1.731014370918274,0.5828028917312622,0.5579553842544556
14,1.3799697160720825,1.7206194400787354,0.5921831130981445,0.5622749924659729
15,1.3291257619857788,1.7366714477539062,0.6084868907928467,0.5661147236824036
16,1.2717704772949219,1.741226077079773,0.6135119795799255,0.5680345296859741
17,1.1781963109970093,1.7314176559448242,0.6446678042411804,0.5728341937065125
18,1.1210811138153076,1.7467255592346191,0.6567280888557434,0.5733141303062439
19,1.0799932479858398,1.7536383867263794,0.6665549874305725,0.5740340948104858
20,1.036708116531372,1.7650108337402344,0.6828587651252747,0.5716342926025391
21,1.011550784111023,1.7896562814712524,0.6904522776603699,0.5692344903945923
