Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,233.23,166.11,128.0,128.0,256.0,64,512.0
params_conv1d_0_kernel_size,9.02,2.98,10.0,6.0,12.0,4,12.0
params_conv1d_1_filters,201.68,126.46,128.0,128.0,256.0,64,512.0
params_conv1d_1_kernel_size,4.7,2.2,4.0,4.0,6.0,2,8.0
params_conv1d_2_filters,162.82,114.45,128.0,64.0,256.0,64,512.0
params_conv1d_2_kernel_size,8.63,1.97,8.0,8.0,10.0,6,12.0
params_conv1d_3_filters,165,115.62,128.0,128.0,128.0,128,512.0
params_conv1d_3_kernel_size,3.03,2.14,2.0,2.0,4.0,2,6.0
params_dense_0_dropout,0.12,0.11,0.2,0.0,0.2,0,0.2
params_dense_0_units,498.42,111.22,550.0,450.0,600.0,292.5,600.0
params_dense_1_dropout,4.29e-02,0.1,0.0,0.0,0.0,0,0.27
params_dense_1_units,433.44,93.42,450.0,362.5,500.0,250,550.0
params_dense_2_dropout,0.25,0.11,0.2,0.2,0.4,7.00e-02,0.4
params_dense_2_units,277.34,44.31,250.0,250.0,300.0,250,350.0
params_num_conv_layers,3.16,0.86,3.0,3.0,4.0,1,4.0
params_num_dense_layers,2.74,0.63,3.0,3.0,3.0,2,3.0
params_pool_size_0,5.36,1.9,6.0,4.0,7.0,2,8.0
params_pool_size_1,4.55,1.65,4.0,3.0,6.0,2,7.0
params_pool_size_2,5.8,1.41,6.0,5.0,7.0,3,8.0
params_pool_size_3,7.56,0.87,8.0,7.0,8.0,7,8.0
