"epoch","train_loss","val_loss","train_accuracy","val_accuracy"
1,3.686251640319824,4.353919506072998,0.23919597268104553,0.07727381587028503
2,2.896660804748535,3.6934571266174316,0.30083751678466797,0.053995680063962936
3,2.5928666591644287,2.811392307281494,0.348967045545578,0.28989681601524353
4,2.3876421451568604,2.087953567504883,0.38079285621643066,0.4758819341659546
5,2.2223877906799316,1.9081203937530518,0.4250139594078064,0.5226781964302063
6,2.087578058242798,1.8363220691680908,0.45884981751441956,0.5351572036743164
7,1.9570151567459106,1.793076753616333,0.4894472360610962,0.5478761792182922
8,1.8826203346252441,1.7557910680770874,0.5085427165031433,0.5569954514503479
9,1.7728207111358643,1.7401686906814575,0.5306532382965088,0.5586752891540527
10,1.7269200086593628,1.7138316631317139,0.5364601016044617,0.5627549886703491
11,1.6144311428070068,1.6987321376800537,0.56996089220047,0.5651547908782959
12,1.5429284572601318,1.6815834045410156,0.5822445750236511,0.5680345296859741
13,1.4363927841186523,1.6941392421722412,0.6048017740249634,0.5716342926025391
14,1.3643933534622192,1.702073335647583,0.6198771595954895,0.5651547908782959
15,1.2688947916030884,1.70206618309021,0.6480178833007812,0.564434826374054
16,1.1482222080230713,1.6819220781326294,0.6779452562332153,0.5699543952941895
17,1.0791815519332886,1.6879682540893555,0.6988274455070496,0.5699543952941895
18,1.0385973453521729,1.695325255393982,0.709547758102417,0.5709143280982971
