Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,388.92,192.82,512,128,512,102.4,512
params_conv1d_0_kernel_size,5.77,2.95,7,4,8,1,9
params_conv1d_1_filters,174.55,287.77,64,64,96,64,640
params_conv1d_1_kernel_size,5,2.28,5,3.5,6,2,8.5
params_dense_0_dropout,0.13,0.2,0,0,0.15,0,0.5
params_dense_0_units,395.45,121.87,450,375,475,187.5,487.5
params_learning_rate,4.02e-03,2.14e-03,3.91e-03,2.48e-03,4.35e-03,1.65e-03,8.09e-03
params_num_conv_layers,1.85,0.38,2,2,2,1,2
params_num_dense_layers,0.85,0.38,1,1,1,0,1
params_pool_size_0,2.15,0.9,2,2,3,1,3.4
params_pool_size_1,3.64,0.5,4,3,4,3,4
