Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cheb_0_dropout,0.25,0.11,0.3,0.2,0.3,2.50e-02,0.38
params_cheb_0_units,300.97,61.93,300.0,245.0,360.0,210,385.0
params_cheb_1_dropout,0.35,0.15,0.4,0.35,0.45,2.50e-02,0.48
params_cheb_1_units,270.97,51.79,260.0,250.0,315.0,185,345.0
params_cheb_2_dropout,0.42,0.1,0.45,0.4,0.45,0.25,0.5
params_cheb_2_units,315.48,79.24,360.0,240.0,380.0,180,400.0
params_cheb_3_dropout,0.24,0.11,0.2,0.19,0.3,0.12,0.4
params_cheb_3_units,230,87.99,190.0,170.0,267.5,157,372.0
params_cheb_4_dropout,0.23,0.16,0.22,0.2,0.25,5.00e-02,0.44
params_cheb_4_units,341.67,74.14,365.0,335.0,387.5,232.5,397.5
params_dense_0_dropout,0.14,0.16,0.2,0.0,0.2,0,0.4
params_dense_0_units,472.58,78.36,500.0,450.0,525.0,325,550.0
params_dense_1_dropout,9.03e-02,0.16,0.0,0.0,0.1,0,0.4
params_dense_1_units,385.48,95.91,350.0,300.0,450.0,300,575.0
params_dense_2_dropout,0.13,0.13,0.2,0.0,0.2,0,0.4
params_dense_2_units,436.21,73.07,450.0,400.0,500.0,300,500.0
params_dense_3_dropout,0.32,0.1,0.4,0.2,0.4,0.2,0.4
params_dense_3_units,498,48.9,500.0,500.0,500.0,410,590.0
params_knn_k,12.19,2.65,10.0,10.0,15.0,10,16.0
params_num_dense_layers,3.74,0.58,4.0,4.0,4.0,2.5,4.0
params_num_gnn_layers,3.45,0.81,3.0,3.0,3.5,3,5.0
