Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv2d_0_filters,199.11,64.2,256,128,256,128,256
params_conv2d_0_kernel_h,3.67,0.48,4,3,4,3,4
params_conv2d_0_kernel_w,3.89,0.32,4,4,4,3,4
params_conv2d_1_filters,210.96,61.7,256,128,256,128,256
params_conv2d_1_kernel_h,3.17,0.38,3,3,3,3,4
params_conv2d_1_kernel_w,5.2,0.41,5,5,5,5,6
params_conv2d_2_filters,74.89,20.32,64,64,80,64,128
params_conv2d_2_kernel_h,5.47,0.5,5,5,6,5,6
params_conv2d_2_kernel_w,3.79,0.41,4,4,4,3,4
params_coord_dense_0_dropout,9.26e-02,6.96e-02,0.1,0.1,0.1,0,0.23
params_coord_dense_0_units,89.19,11.88,96,80,96,64,96
params_coord_dense_1_dropout,0.21,0.13,0.3,0.2,0.3,0,0.3
params_coord_dense_1_units,85.33,11.31,80,80,96,70.4,96
params_coord_num_layers,1.17,0.38,1,1,1,1,2
params_fusion_dense_0_dropout,0.22,9.66e-02,0.2,0.1,0.3,0.1,0.33
params_fusion_dense_0_units,98.96,18.92,96,96,96,64,128
params_learning_rate,5.79e-04,1.01e-04,5.63e-04,5.18e-04,6.50e-04,4.21e-04,7.41e-04
params_num_conv_layers,2.87,0.34,3,3,3,2,3
