"Parameter","Category","Fraction","Count"
params_conv1d_0_act,relu,0.7193,41
params_conv1d_0_act,swish,0.2456,14
params_conv1d_0_act,tanh,0.0351,2
params_conv1d_1_act,tanh,0.8596,49
params_conv1d_1_act,relu,0.1053,6
params_conv1d_1_act,swish,0.0351,2
params_conv1d_2_act,swish,0.8421,48
params_conv1d_2_act,tanh,0.1228,7
params_conv1d_2_act,relu,0.0351,2
params_conv1d_3_act,tanh,0.9123,52
params_conv1d_3_act,swish,0.0526,3
params_conv1d_3_act,relu,0.0351,2
params_dense_0_act,swish,0.8246,47
params_dense_0_act,relu,0.1579,9
params_dense_0_act,tanh,0.0175,1
params_dense_1_act,tanh,0.8947,51
params_dense_1_act,relu,0.0526,3
params_dense_1_act,swish,0.0526,3
params_ffn_activation,swish,0.8947,51
params_ffn_activation,relu,0.0877,5
params_ffn_activation,tanh,0.0175,1
