Parameter,Mean,Std,Min,25%,Median,75%,Max
params_cnn1d_filters_0,202.9090909090909,174.1181813189844,32.0,64.0,96.0,384.0,512.0
params_cnn1d_filters_1,353.45454545454544,144.41088482958023,32.0,224.0,432.0,480.0,512.0
params_cnn1d_filters_2,246.9090909090909,131.53275334973324,32.0,160.0,208.0,328.0,512.0
params_cnn1d_filters_3,306.6046511627907,88.68984676550437,64.0,256.0,320.0,352.0,512.0
params_cnn1d_filters_4,185.69014084507043,71.27143117272482,32.0,144.0,192.0,224.0,352.0
params_cnn1d_filters_5,149.05263157894737,130.83906916481274,32.0,64.0,96.0,216.0,512.0
params_cnn1d_kernel_size_0,2.875,0.868510417224564,1.0,3.0,3.0,3.0,5.0
params_cnn1d_kernel_size_1,3.6136363636363638,0.8766684347058548,1.0,3.0,4.0,4.0,5.0
params_cnn1d_kernel_size_2,3.8295454545454546,1.1061124935940505,1.0,3.0,4.0,5.0,5.0
params_cnn1d_kernel_size_3,3.302325581395349,1.5497230677986649,1.0,2.0,3.0,5.0,5.0
params_cnn1d_kernel_size_4,2.183098591549296,0.8993626180313888,1.0,2.0,2.0,2.0,5.0
params_cnn1d_kernel_size_5,2.3684210526315788,1.1008854576640383,1.0,2.0,2.0,3.0,5.0
params_cnn1d_pool_size_0,2.6931818181818183,1.518907309495229,1.0,2.0,2.0,3.0,11.0
params_cnn1d_pool_size_1,2.022727272727273,1.8129627287397203,1.0,1.0,1.0,2.0,11.0
params_cnn1d_pool_size_2,2.909090909090909,1.8234510897465868,1.0,2.0,2.0,4.0,14.0
params_cnn1d_pool_size_3,3.197674418604651,1.5478240319642698,1.0,2.0,3.0,4.0,7.0
params_cnn1d_pool_size_4,2.535211267605634,1.6373409271960522,1.0,1.0,2.0,4.0,5.0
params_cnn1d_pool_size_5,1.6578947368421053,0.847135580248464,1.0,1.0,1.0,2.0,3.0
params_dense_1_units,403.6363636363636,109.50863943435148,64.0,384.0,448.0,448.0,512.0
params_dense_2_units,359.2,119.40510770831975,64.0,256.0,384.0,448.0,512.0
params_learning_rate,0.0016224651526315602,0.002389238300185635,1.7252155916288883e-05,0.00022364998898390375,0.0004337253368063282,0.0018968283793818356,0.009970605951738102
params_num_layers,5.215909090909091,0.8087007266002436,3.0,5.0,5.0,6.0,6.0
