Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,494.7,27.35,480,480,520,440,520
params_conv1d_0_kernel_size,4.82,1.95,6,3,6,3,7.5
params_conv1d_1_filters,347.69,62.87,360,320,400,240,400
params_conv1d_1_kernel_size,3.26,1.15,3,3,3,3,6
params_conv1d_2_filters,423.02,39.64,400,400,440,400,500
params_conv1d_2_kernel_size,4.65,2.26,3,3,6,3,9
params_conv1d_3_filters,133.99,23.23,150,110,150,90,150
params_conv1d_3_kernel_size,6.29,4.24,3,3,12,3,12
params_dense_1_dropout,3.90e-02,5.59e-02,0,0,0.1,0,0.1
params_dense_1_units,251.85,22.44,250,250,250,250,275
params_dense_2_dropout,0.11,7.68e-02,0.1,0.1,0.2,0,0.2
params_dense_2_units,365.24,31.67,350,350,400,350,400
params_lr,8.60e-05,8.01e-06,8.40e-05,8.20e-05,8.79e-05,8.01e-05,9.53e-05
params_pool_size_0,3.21,0.59,3,3,3,3,5
params_pool_size_1,3.24,0.52,3,3,3,3,4
params_pool_size_2,3.54,0.86,3,3,4,3,5
params_pool_size_3,3.74,0.62,4,3,4,3,5
