"epoch","train_loss","val_loss","train_accuracy","val_accuracy"
1,3.4826018810272217,5.1796650886535645,0.24623115360736847,0.00599951995536685
2,2.701129674911499,4.370977878570557,0.3220547139644623,0.031197505071759224
3,2.349839925765991,3.202162027359009,0.3819095492362976,0.18958483636379242
4,2.1042592525482178,2.186892032623291,0.4245672821998596,0.43436524271965027
5,1.914890170097351,1.8652257919311523,0.4702400863170624,0.5123590230941772
6,1.7620961666107178,1.7951239347457886,0.5077610015869141,0.5293976664543152
7,1.6260899305343628,1.7828283309936523,0.5372417569160461,0.5296376347541809
8,1.486452579498291,1.7684375047683716,0.5716359615325928,0.5416366457939148
9,1.379411220550537,1.7684801816940308,0.5987716317176819,0.5461962819099426
10,1.2633053064346313,1.8004446029663086,0.6188721656799316,0.5356371402740479
11,1.138763189315796,1.8132696151733398,0.6496928930282593,0.5454763770103455
12,1.015416145324707,1.8590688705444336,0.6852037906646729,0.5404367446899414
13,0.917062520980835,1.899601697921753,0.716359555721283,0.53995680809021
14,0.7890757322311401,1.9915636777877808,0.7543271780014038,0.5495560169219971
15,0.7155698537826538,1.9632817506790161,0.7754327058792114,0.5545956492424011
16,0.6425029039382935,2.003462553024292,0.7984366416931152,0.5483561158180237
17,0.6012488603591919,2.0392487049102783,0.8168621063232422,0.5445164442062378
18,0.5688989758491516,2.046867847442627,0.8265773057937622,0.547396183013916
