epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,3.6436007022857666,4.814227104187012,0.23874929547309875,0.049436043947935104
2,2.994192123413086,4.434518814086914,0.29156896471977234,0.030957523733377457
3,2.7248058319091797,3.503328561782837,0.3315466344356537,0.211183100938797
4,2.5266711711883545,2.5577709674835205,0.3606923520565033,0.366450697183609
5,2.3795230388641357,2.1404318809509277,0.382132887840271,0.43676504492759705
6,2.22403883934021,2.0021116733551025,0.41641542315483093,0.47396206855773926
7,2.084569215774536,1.945265531539917,0.44511446356773376,0.4840412735939026
8,1.9731969833374023,1.9178144931793213,0.4742601811885834,0.5001199841499329
9,1.8608858585357666,1.8746975660324097,0.49659407138824463,0.511879026889801
10,1.7574925422668457,1.8735439777374268,0.5228363871574402,0.5046796202659607
11,1.6697293519973755,1.8214902877807617,0.5426018834114075,0.5274778008460999
12,1.5799304246902466,1.8092485666275024,0.5668341517448425,0.5291576385498047
13,1.5262078046798706,1.8025933504104614,0.5743160247802734,0.5305975675582886
14,1.4350899457931519,1.7854042053222656,0.5922948122024536,0.5449963808059692
15,1.3581085205078125,1.7780884504318237,0.6173087954521179,0.539236843585968
16,1.271828055381775,1.7631977796554565,0.6365159153938293,0.5483561158180237
17,1.203209400177002,1.7725977897644043,0.6556113958358765,0.5469162464141846
18,1.14475679397583,1.7873564958572388,0.6673367023468018,0.5476362109184265
19,1.0123096704483032,1.7266355752944946,0.7087660431861877,0.5656347274780273
20,0.965168297290802,1.742533564567566,0.7259631752967834,0.5617950558662415
21,0.9138056635856628,1.7309373617172241,0.7359017133712769,0.566594660282135
22,0.9013929963111877,1.7226511240005493,0.7403684854507446,0.5709143280982971
23,0.8642518520355225,1.7278817892074585,0.7534338235855103,0.5709143280982971
24,0.8536670207977295,1.7291916608810425,0.7596873044967651,0.5706743597984314
25,0.83708256483078,1.7270969152450562,0.7593523263931274,0.5706743597984314
26,0.8551321625709534,1.7252264022827148,0.7552205324172974,0.5723541975021362
27,0.8362096548080444,1.72543203830719,0.7627024054527283,0.5728341937065125
