Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,464.33,106.03,512,512,512,256,512
params_conv1d_0_kernel_size,2.68,0.47,3,2,3,2,3
params_conv1d_1_filters,233.8,150.09,128,128,256,128,512
params_conv1d_1_kernel_size,3.44,0.86,4,3,4,2,4
params_conv1d_2_filters,369.96,178.78,512,128,512,128,512
params_conv1d_2_kernel_size,4.17,1.45,4,4,4,2,7
params_conv1d_3_filters,181.22,74.67,128,128,256,64,256
params_conv1d_3_kernel_size,3.75,0.55,4,3,4,3,5
params_dense_0_dropout,0.44,9.51e-02,0.5,0.4,0.5,0.3,0.5
params_dense_0_units,332.89,48.63,300,300,400,300,400
params_dense_1_dropout,0.24,6.76e-02,0.2,0.2,0.3,0.2,0.3
params_dense_1_units,300,74.87,300,200,400,200,400
params_ffn_units,298.78,196.78,128,128,512,64,512
params_key_dim,91.43,41.63,128,64,128,32,128
params_lr,4.86e-05,1.09e-05,4.60e-05,4.14e-05,5.84e-05,3.09e-05,6.72e-05
params_num_dense_layers,1.31,0.53,1,1,2,1,2
params_num_heads,8.98,5.61,4,4,16,4,16
params_pool_size_1,4.83,0.69,5,5,5,2,5
params_pool_size_2,3.64,0.6,4,3,4,2,4
params_pool_size_3,3.31,0.63,3,3,4,2,4
