Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,97.39,37.96,128,64,128,32,128
params_conv1d_0_kernel_size,3.52,2.29,3,1,5.5,1,6.9
params_conv1d_1_filters,44.44,19.45,32,32,64,32,68.8
params_conv1d_1_kernel_size,3.56,1.82,3.5,2.25,4,1,6.15
params_dense_0_dropout,0.2,0.17,0.25,0,0.3,0,0.4
params_dense_0_units,138.64,65.34,150,100,200,25,200
params_learning_rate,1.65e-03,1.82e-03,1.02e-03,6.74e-04,1.63e-03,4.52e-04,6.50e-03
params_num_conv_layers,1.78,0.42,2,2,2,1,2
params_num_dense_layers,0.96,0.21,1,1,1,1,1
params_pool_size_0,2.48,0.79,3,2,3,1,3
params_pool_size_1,2.56,0.62,2.5,2,3,2,3.15
