epoch,train_loss,train_top_1_accuracy,val_loss,val_top_1_accuracy
1,"tf.Tensor(0.98212844, shape=(), dtype=float32)","tf.Tensor(0.26622, shape=(), dtype=float32)",0.00390625,0.35819563269615173
2,"tf.Tensor(0.7047167, shape=(), dtype=float32)","tf.Tensor(0.4098269, shape=(), dtype=float32)",0.00390625,0.4247431755065918
3,"tf.Tensor(0.6223526, shape=(), dtype=float32)","tf.Tensor(0.45103294, shape=(), dtype=float32)",0.00390625,0.43099597096443176
4,"tf.Tensor(0.5010398, shape=(), dtype=float32)","tf.Tensor(0.47772193, shape=(), dtype=float32)",0.00390625,0.4600268006324768
5,"tf.Tensor(0.4477822, shape=(), dtype=float32)","tf.Tensor(0.4979341, shape=(), dtype=float32)",0.00390625,0.47029924392700195
6,"tf.Tensor(0.42080516, shape=(), dtype=float32)","tf.Tensor(0.50653267, shape=(), dtype=float32)",0.00390625,0.464493066072464
7,"tf.Tensor(0.3898208, shape=(), dtype=float32)","tf.Tensor(0.5152429, shape=(), dtype=float32)",0.00390625,0.46851274371147156
8,"tf.Tensor(0.37214458, shape=(), dtype=float32)","tf.Tensor(0.5210497, shape=(), dtype=float32)",0.00390625,0.4948637783527374
9,"tf.Tensor(0.36740282, shape=(), dtype=float32)","tf.Tensor(0.53031826, shape=(), dtype=float32)",0.00390625,0.506476104259491
10,"tf.Tensor(0.36288053, shape=(), dtype=float32)","tf.Tensor(0.53847015, shape=(), dtype=float32)",0.00390625,0.507369339466095
11,"tf.Tensor(0.35598668, shape=(), dtype=float32)","tf.Tensor(0.54304856, shape=(), dtype=float32)",0.00390625,0.5015631914138794
12,"tf.Tensor(0.35517967, shape=(), dtype=float32)","tf.Tensor(0.54483527, shape=(), dtype=float32)",0.00390625,0.5082626342773438
13,"tf.Tensor(0.35723853, shape=(), dtype=float32)","tf.Tensor(0.5468453, shape=(), dtype=float32)",0.00390625,0.5221080780029297
14,"tf.Tensor(0.34993088, shape=(), dtype=float32)","tf.Tensor(0.5524288, shape=(), dtype=float32)",0.00390625,0.5136221647262573
15,"tf.Tensor(0.33526433, shape=(), dtype=float32)","tf.Tensor(0.5583473, shape=(), dtype=float32)",0.00390625,0.506476104259491
16,"tf.Tensor(0.33857605, shape=(), dtype=float32)","tf.Tensor(0.56035733, shape=(), dtype=float32)",0.00390625,0.5082626342773438
17,"tf.Tensor(0.29550996, shape=(), dtype=float32)","tf.Tensor(0.5816862, shape=(), dtype=float32)",0.00390625,0.5551585555076599
18,"tf.Tensor(0.2926685, shape=(), dtype=float32)","tf.Tensor(0.5879397, shape=(), dtype=float32)",0.00390625,0.5564984083175659
19,"tf.Tensor(0.29076642, shape=(), dtype=float32)","tf.Tensor(0.5880514, shape=(), dtype=float32)",0.00390625,0.5556051731109619
20,"tf.Tensor(0.28942072, shape=(), dtype=float32)","tf.Tensor(0.58894473, shape=(), dtype=float32)",0.00390625,0.5515855550765991
21,"tf.Tensor(0.28836167, shape=(), dtype=float32)","tf.Tensor(0.58894473, shape=(), dtype=float32)",0.00390625,0.5529254078865051
22,"tf.Tensor(0.27405456, shape=(), dtype=float32)","tf.Tensor(0.59731996, shape=(), dtype=float32)",0.00390625,0.5667708516120911
23,"tf.Tensor(0.27288243, shape=(), dtype=float32)","tf.Tensor(0.5978783, shape=(), dtype=float32)",0.00390625,0.5654309988021851
24,"tf.Tensor(0.27218273, shape=(), dtype=float32)","tf.Tensor(0.59888333, shape=(), dtype=float32)",0.00390625,0.5663242340087891
25,"tf.Tensor(0.27183473, shape=(), dtype=float32)","tf.Tensor(0.59944165, shape=(), dtype=float32)",0.00390625,0.5672175288200378
26,"tf.Tensor(0.2714992, shape=(), dtype=float32)","tf.Tensor(0.59944165, shape=(), dtype=float32)",0.00390625,0.5667708516120911
27,"tf.Tensor(0.2712918, shape=(), dtype=float32)","tf.Tensor(0.59933, shape=(), dtype=float32)",0.00390625,0.5663242340087891
28,"tf.Tensor(0.27111477, shape=(), dtype=float32)","tf.Tensor(0.59955335, shape=(), dtype=float32)",0.00390625,0.5663242340087891
29,"tf.Tensor(0.26712307, shape=(), dtype=float32)","tf.Tensor(0.601005, shape=(), dtype=float32)",0.00390625,0.5712371468544006
30,"tf.Tensor(0.26679808, shape=(), dtype=float32)","tf.Tensor(0.60122836, shape=(), dtype=float32)",0.00390625,0.5707905292510986
31,"tf.Tensor(0.266604, shape=(), dtype=float32)","tf.Tensor(0.6014517, shape=(), dtype=float32)",0.00390625,0.5707905292510986
