Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cheb_0_K,4.09,0.83,4,3.5,5,3,5
params_cheb_0_dropout,0.32,0.15,0.3,0.2,0.45,0.15,0.5
params_cheb_0_units,139.64,62.83,128,128,128,64,256
params_cheb_1_K,3.93,0.63,4,4,4,2.1,5
params_cheb_1_dropout,0.18,0.11,0.2,0.1,0.2,1.00e-02,0.4
params_cheb_1_units,243.57,43.96,256,256,256,128,256
params_cheb_2_K,3.8,1.3,4,3,5,2.2,5
params_cheb_2_dropout,0.2,0.21,0.2,0,0.3,0,0.46
params_cheb_2_units,153.6,97.06,128,64,256,64,256
params_cheb_3_K,4,,4,4,4,4,4
params_cheb_3_dropout,0.2,,0.2,0.2,0.2,0.2,0.2
params_cheb_3_units,256,,256,256,256,256,256
params_dense_0_dropout,0.33,0.12,0.4,0.2,0.4,0.12,0.4
params_dense_0_units,364.29,58.57,400,350,400,250,400
params_dense_1_dropout,0.2,9.03e-02,0.2,0.2,0.2,0,0.4
params_dense_1_units,307.52,29.83,300,300,300,300,400
params_dense_2_dropout,0.21,6.96e-02,0.2,0.2,0.2,0.2,0.4
params_dense_2_units,306.14,25.88,300,300,300,300,350
params_gat_0_dropout,0.26,0.17,0.3,0.1,0.4,0,0.5
params_gat_0_heads,4.47,2.27,4,3,6,1,8
params_gat_0_units,154.35,81.77,128,64,256,64,256
params_gat_1_dropout,0.25,0.18,0.25,0.1,0.4,0,0.5
params_gat_1_heads,4.67,2.53,5,2.75,6.25,1,8
params_gat_1_units,149.33,83.37,128,64,256,64,256
params_gat_2_dropout,0.26,0.18,0.3,0.2,0.3,0,0.5
params_gat_2_heads,4.44,2.55,4,3,7,1,7.6
params_gat_2_units,149.33,84.66,128,64,256,64,256
params_gat_3_dropout,0.35,0.21,0.35,0.28,0.42,0.22,0.48
params_gat_3_heads,3,2.83,3,2,4,1.2,4.8
params_gat_3_units,160,135.76,160,112,208,73.6,246.4
params_gcn_0_dropout,9.05e-02,0.15,0,0,0.2,0,0.4
params_gcn_0_units,119.47,43.54,128,128,128,64,230.4
params_gcn_1_dropout,0.31,0.16,0.4,0.2,0.4,0.1,0.47
params_gcn_1_units,192,82.62,256,128,256,83.2,256
params_gcn_2_dropout,0.1,0.14,5.00e-02,0,0.15,0,0.27
params_gcn_2_units,128,90.51,96,64,160,64,236.8
params_gcn_3_dropout,0.3,,0.3,0.3,0.3,0.3,0.3
params_gcn_3_units,256,,256,256,256,256,256
params_knn_k,7.97,2.73,8,8,8,4,16
params_lr,6.72e-05,1.25e-05,7.12e-05,6.33e-05,7.65e-05,3.69e-05,7.88e-05
params_num_dense_layers,2.86,0.35,3,3,3,2,3
params_num_gcn_layers,2.19,0.58,2,2,2,2,3
