"Parameter","Mean","Std","Min","25%","Median","75%","Max"
params_batch_size,36.666666666666664,11.413566644397328,32,32,32,32,64
params_cnn3d_filter_decay_factor,0.6529411764705884,0.24195283935219325,0.1,0.6,0.8,0.8,0.9
params_cnn3d_filters_layer_0,69.6470588235294,21.661785272143906,32,64,64,64,128
params_cnn3d_kernel_decay_factor,0.6313725490196079,0.1944121355043778,0.1,0.6,0.7000000000000001,0.7000000000000001,0.9
params_cnn3d_kernel_depth_0,3.6666666666666665,0.9521904571390467,1,3,4,4,5
params_cnn3d_kernel_depth_1,1.9024390243902438,0.6246950475544242,1,2,2,2,4
params_cnn3d_kernel_depth_2,1.25,0.5,1,1,1,1.25,2
params_cnn3d_kernel_height_0,3.5686274509803924,1.1358679845965254,2,3,3,5,5
params_cnn3d_kernel_height_1,1.951219512195122,0.5895430226961863,1,2,2,2,4
params_cnn3d_kernel_height_2,1.25,0.5,1,1,1,1.25,2
params_cnn3d_kernel_width_0,3.215686274509804,0.8321953013613109,1,3,3,4,5
params_cnn3d_kernel_width_1,1.8048780487804879,0.5108577196794598,1,2,2,2,3
params_cnn3d_kernel_width_2,1.25,0.5,1,1,1,1.25,2
params_cnn3d_layers,1.8823529411764706,0.5156378117837912,1,2,2,2,3
params_learning_rate,0.0008458423687003495,0.0016359843810963808,0.00002504226881355306,0.0002953471049506205,0.0004503892688554809,0.0006029472848886263,0.009360384157321941
params_pool_dim1,1.1764705882352942,0.3850133687518488,1,1,1,1,2
params_pool_dim2,4.431372549019608,1.2370109451542344,1,5,5,5,5
params_pool_dim3,1.1568627450980393,0.3672900227127246,1,1,1,1,2
