"Parameter","Category","Fraction","Count"
params_conv1d_layer_0_act,tanh,0.6133,203
params_conv1d_layer_0_act,sigmoid,0.2085,69
params_conv1d_layer_0_act,relu,0.136,45
params_conv1d_layer_0_act,swish,0.0423,14
params_conv1d_layer_1_act,swish,0.7221,239
params_conv1d_layer_1_act,sigmoid,0.1239,41
params_conv1d_layer_1_act,relu,0.0997,33
params_conv1d_layer_1_act,tanh,0.0544,18
params_conv1d_layer_2_act,relu,0.7613,252
params_conv1d_layer_2_act,swish,0.1329,44
params_conv1d_layer_2_act,tanh,0.0634,21
params_conv1d_layer_2_act,sigmoid,0.0423,14
params_conv1d_layer_3_act,swish,0.7402,245
params_conv1d_layer_3_act,tanh,0.1511,50
params_conv1d_layer_3_act,relu,0.0634,21
params_conv1d_layer_3_act,sigmoid,0.0453,15
params_dense_as_conv1d_after_concat_act,relu,0.3333,13
params_dense_as_conv1d_after_concat_act,swish,0.2821,11
params_dense_as_conv1d_after_concat_act,tanh,0.2051,8
params_dense_as_conv1d_after_concat_act,sigmoid,0.1795,7
params_dense_as_conv1d_layer_0_act,tanh,0.6193,205
params_dense_as_conv1d_layer_0_act,relu,0.2326,77
params_dense_as_conv1d_layer_0_act,swish,0.1027,34
params_dense_as_conv1d_layer_0_act,sigmoid,0.0453,15
params_dense_as_conv1d_layer_1_act,sigmoid,0.7175,226
params_dense_as_conv1d_layer_1_act,relu,0.1333,42
params_dense_as_conv1d_layer_1_act,tanh,0.0794,25
params_dense_as_conv1d_layer_1_act,swish,0.0698,22
params_dense_as_conv1d_layer_2_act,swish,0.6569,180
params_dense_as_conv1d_layer_2_act,tanh,0.1788,49
params_dense_as_conv1d_layer_2_act,relu,0.1058,29
params_dense_as_conv1d_layer_2_act,sigmoid,0.0584,16
params_output_strategy,flatten,0.6073,201
params_output_strategy,global_average_pooling,0.2749,91
params_output_strategy,max_pooling_concat,0.1178,39
