Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cheb_0_dropout,0.16,9.30e-02,0.15,0.1,0.2,0.1,0.38
params_cheb_0_units,368.8,40.64,380.0,360,390.0,280,400.0
params_cheb_1_dropout,0.11,7.39e-02,0.1,5.00e-02,0.15,5.00e-02,0.2
params_cheb_1_units,378.8,33.42,390.0,370,400.0,340,400.0
params_cheb_2_dropout,0.42,6.73e-02,0.4,0.4,0.45,0.35,0.5
params_cheb_2_units,322.4,35.21,320.0,310,340.0,260,380.0
params_cheb_3_dropout,0.23,0.14,0.15,0.12,0.33,0.1,0.42
params_cheb_3_units,290,64.81,300.0,260,310.0,208,376.0
params_cheb_4_dropout,0.18,0.23,0.1,3.75e-02,0.24,7.50e-03,0.45
params_cheb_4_units,300,85.24,300.0,252.5,347.5,210.5,389.5
params_dense_0_dropout,9.58e-03,5.29e-02,0.0,0,0.0,0,0.0
params_dense_0_units,282.34,75.67,250.0,250,250.0,250,450.0
params_dense_1_dropout,3.83e-02,0.11,0.0,0,0.0,0,0.4
params_dense_1_units,585.33,45.03,600.0,600,600.0,550,600.0
params_dense_2_dropout,0.21,4.10e-02,0.2,0.2,0.2,0.2,0.2
params_dense_2_units,517.68,53.05,500.0,500,550.0,450,600.0
params_dense_3_dropout,0.39,6.57e-02,0.4,0.4,0.4,0.3,0.4
params_dense_3_units,344.37,44.18,350.0,300,350.0,300,400.0
params_knn_k,12.32,1.17,12.0,12,12.0,12,16.0
params_num_dense_layers,3.89,0.37,4.0,4,4.0,3,4.0
params_num_gnn_layers,3.07,0.33,3.0,3,3.0,3,3.0
