epoch,train_loss,val_loss,train_top_1_accuracy,val_top_1_accuracy
1,3.017766237258911,2.731959342956543,0.2396426647901535,0.27914246916770935
2,2.6592912673950195,2.566426992416382,0.28967058658599854,0.3224653899669647
3,2.52946138381958,2.4909250736236572,0.3159129023551941,0.31621259450912476
4,2.4291152954101562,2.387705087661743,0.3350083827972412,0.35238945484161377
5,2.331796169281006,2.3092665672302246,0.36560580134391785,0.3640017807483673
6,2.232941150665283,2.22660493850708,0.38302624225616455,0.3876730799674988
7,2.1510517597198486,2.1436641216278076,0.40033501386642456,0.39660564064979553
8,2.0714352130889893,2.1064441204071045,0.41585707664489746,0.41268423199653625
9,2.0283398628234863,2.0720317363739014,0.4285873770713806,0.4256364405155182
10,1.9692891836166382,2.0098326206207275,0.4518146216869354,0.4631531834602356
11,1.9284794330596924,2.0094375610351562,0.46085986495018005,0.4466279447078705
12,1.9064916372299194,2.018305540084839,0.46465662121772766,0.4448414444923401
13,1.8792141675949097,1.9802560806274414,0.470016747713089,0.4618133008480072
14,1.8660149574279785,1.9608654975891113,0.46666666865348816,0.4787851572036743
15,1.8304564952850342,1.9510217905044556,0.47828027606010437,0.4756587743759155
16,1.8063353300094604,1.9206596612930298,0.4867671728134155,0.48995086550712585
17,1.7730706930160522,1.9010075330734253,0.4934673309326172,0.5037963390350342
18,1.7707864046096802,1.921355128288269,0.492797315120697,0.49352389574050903
19,1.763567328453064,1.8992300033569336,0.4970407485961914,0.5037963390350342
20,1.7521286010742188,1.88321852684021,0.4975990951061249,0.5011165738105774
21,1.747517704963684,1.8898630142211914,0.4931323230266571,0.5024564266204834
22,1.706217885017395,1.8824856281280518,0.5116694569587708,0.5176417827606201
23,1.6979901790618896,1.8541609048843384,0.519262969493866,0.5207682251930237
24,1.6722779273986816,1.8705313205718994,0.5169179439544678,0.5234479904174805
25,1.6805747747421265,1.8545650243759155,0.5132328271865845,0.5189816951751709
26,1.6476119756698608,1.8486883640289307,0.5264098048210144,0.5310406684875488
27,1.6337664127349854,1.8353203535079956,0.532551646232605,0.5265743732452393
28,1.6181989908218384,1.8691517114639282,0.5335566997528076,0.5180884599685669
29,1.5989789962768555,1.86310613155365,0.5381351113319397,0.5216614603996277
30,1.584620714187622,1.8417185544967651,0.5426018834114075,0.5332737565040588
31,1.480776309967041,1.7506870031356812,0.575209379196167,0.5636444687843323
32,1.424210548400879,1.7442632913589478,0.5924064517021179,0.5600714683532715
33,1.4058034420013428,1.7418984174728394,0.5920714735984802,0.5587315559387207
34,1.394652009010315,1.7400230169296265,0.5970966219902039,0.5600714683532715
35,1.3844788074493408,1.7453370094299316,0.6018983721733093,0.5631978511810303
36,1.3743083477020264,1.7416833639144897,0.6063651442527771,0.5600714683532715
37,1.3620116710662842,1.7423994541168213,0.6119486093521118,0.5582849383354187
38,1.3402061462402344,1.7125537395477295,0.6207705140113831,0.5640910863876343
39,1.3223273754119873,1.7092597484588623,0.6223338842391968,0.5667708516120911
40,1.3157494068145752,1.7107294797897339,0.6226689219474792,0.5636444687843323
41,1.3140515089035034,1.7082988023757935,0.6252372860908508,0.5658776164054871
42,1.30754816532135,1.7082858085632324,0.6214405298233032,0.5663242340087891
43,1.3020399808883667,1.7083417177200317,0.6251256465911865,0.5654309988021851
44,1.3047559261322021,1.7071200609207153,0.6290340423583984,0.5676641464233398
45,1.3079503774642944,1.7075259685516357,0.6243439316749573,0.5654309988021851
46,1.301830530166626,1.7083399295806885,0.6232272386550903,0.5672175288200378
47,1.2913715839385986,1.7069257497787476,0.6301507353782654,0.5658776164054871
48,1.2919763326644897,1.707288146018982,0.6281406879425049,0.5663242340087891
49,1.2956407070159912,1.706982135772705,0.6293690800666809,0.5681107640266418
50,1.291202187538147,1.7078722715377808,0.6302624344825745,0.5667708516120911
51,1.283387541770935,1.7055631875991821,0.6317141056060791,0.5667708516120911
52,1.2721145153045654,1.7048252820968628,0.6357342004776001,0.564537763595581
53,1.2807060480117798,1.7044273614883423,0.6303740739822388,0.5658776164054871
54,1.2727571725845337,1.7044512033462524,0.6332774758338928,0.5640910863876343
55,1.276650309562683,1.7043821811676025,0.6375209093093872,0.5649843811988831
56,1.2697734832763672,1.7044378519058228,0.6331658363342285,0.5663242340087891
57,1.267719030380249,1.7043094635009766,0.6366275548934937,0.5658776164054871
58,1.275519847869873,1.7042266130447388,0.6350641846656799,0.5649843811988831
59,1.2692711353302002,1.7040246725082397,0.6353992223739624,0.5654309988021851
60,1.2677921056747437,1.7039836645126343,0.6383026242256165,0.5654309988021851
61,1.2735910415649414,1.7040958404541016,0.6375209093093872,0.5649843811988831
62,1.2746163606643677,1.7040690183639526,0.6336125135421753,0.5649843811988831
63,1.2654941082000732,1.7040873765945435,0.6367392539978027,0.5649843811988831
64,1.268850564956665,1.7040592432022095,0.6419877409934998,0.5649843811988831
65,1.2682268619537354,1.7040364742279053,0.6337241530418396,0.5649843811988831
66,1.2715981006622314,1.7040269374847412,0.6407593488693237,0.5649843811988831
67,1.2772780656814575,1.704021692276001,0.6335008144378662,0.5649843811988831
68,1.265976905822754,1.7040176391601562,0.6376326084136963,0.5649843811988831
69,1.2766406536102295,1.7040234804153442,0.6332774758338928,0.5649843811988831
70,1.2776055335998535,1.7040213346481323,0.6341708302497864,0.5649843811988831
