Parameter,Category,Fraction,Count
params_cheb_0_act,relu,0.9423,147
params_cheb_0_act,tanh,0.0256,4
params_cheb_0_act,None,0.0192,3
params_cheb_0_act,swish,0.0128,2
params_cheb_1_act,swish,0.9103,142
params_cheb_1_act,tanh,0.0641,10
params_cheb_1_act,None,0.0192,3
params_cheb_1_act,relu,0.0064,1
params_cheb_2_act,None,0.3333,2
params_cheb_2_act,tanh,0.3333,2
params_cheb_2_act,swish,0.3333,2
params_conv1d_0_act,tanh,0.4872,76
params_conv1d_0_act,None,0.2372,37
params_conv1d_0_act,relu,0.1603,25
params_conv1d_0_act,swish,0.1154,18
params_conv1d_1_act,relu,0.5321,83
params_conv1d_1_act,swish,0.4103,64
params_conv1d_1_act,None,0.0385,6
params_conv1d_1_act,tanh,0.0192,3
params_conv1d_2_act,relu,0.4231,66
params_conv1d_2_act,None,0.3013,47
params_conv1d_2_act,swish,0.2051,32
params_conv1d_2_act,tanh,0.0705,11
params_conv1d_3_act,None,0.3974,62
params_conv1d_3_act,tanh,0.3077,48
params_conv1d_3_act,relu,0.2308,36
params_conv1d_3_act,swish,0.0641,10
params_dense_0_act,tanh,0.526,81
params_dense_0_act,relu,0.4481,69
params_dense_0_act,None,0.0195,3
params_dense_0_act,swish,0.0065,1
params_dense_1_act,tanh,0.649,98
params_dense_1_act,None,0.3245,49
params_dense_1_act,swish,0.0265,4
params_dense_2_act,tanh,0.9728,143
params_dense_2_act,None,0.0136,2
params_dense_2_act,relu,0.0068,1
params_dense_2_act,swish,0.0068,1
params_se_0_se_act_expand,tanh,0.4167,65
params_se_0_se_act_expand,swish,0.3397,53
params_se_0_se_act_expand,None,0.2372,37
params_se_0_se_act_expand,relu,0.0064,1
params_se_0_se_act_reduce,None,0.6346,99
params_se_0_se_act_reduce,swish,0.2949,46
params_se_0_se_act_reduce,relu,0.0385,6
params_se_0_se_act_reduce,tanh,0.0321,5
params_se_1_se_act_expand,tanh,0.5321,83
params_se_1_se_act_expand,swish,0.1987,31
params_se_1_se_act_expand,relu,0.1987,31
params_se_1_se_act_expand,None,0.0705,11
params_se_1_se_act_reduce,relu,0.5128,80
params_se_1_se_act_reduce,tanh,0.391,61
params_se_1_se_act_reduce,swish,0.0705,11
params_se_1_se_act_reduce,None,0.0256,4
params_se_3_se_act_expand,None,0.6026,94
params_se_3_se_act_expand,swish,0.3013,47
params_se_3_se_act_expand,tanh,0.0705,11
params_se_3_se_act_expand,relu,0.0256,4
params_se_3_se_act_reduce,relu,0.4423,69
params_se_3_se_act_reduce,swish,0.2692,42
params_se_3_se_act_reduce,None,0.1987,31
params_se_3_se_act_reduce,tanh,0.0897,14
params_se_cheb_0_se_act_expand,swish,0.6474,101
params_se_cheb_0_se_act_expand,tanh,0.2628,41
params_se_cheb_0_se_act_expand,relu,0.0641,10
params_se_cheb_0_se_act_expand,None,0.0256,4
params_se_cheb_0_se_act_reduce,None,0.4872,76
params_se_cheb_0_se_act_reduce,tanh,0.4551,71
params_se_cheb_0_se_act_reduce,relu,0.0321,5
params_se_cheb_0_se_act_reduce,swish,0.0256,4
params_se_cheb_1_se_act_expand,tanh,0.4936,77
params_se_cheb_1_se_act_expand,None,0.4038,63
params_se_cheb_1_se_act_expand,swish,0.0705,11
params_se_cheb_1_se_act_expand,relu,0.0321,5
params_se_cheb_1_se_act_reduce,None,0.6218,97
params_se_cheb_1_se_act_reduce,tanh,0.3077,48
params_se_cheb_1_se_act_reduce,relu,0.0449,7
params_se_cheb_1_se_act_reduce,swish,0.0256,4
params_se_cheb_2_se_act_expand,swish,0.3333,2
params_se_cheb_2_se_act_expand,None,0.3333,2
params_se_cheb_2_se_act_expand,relu,0.3333,2
params_se_cheb_2_se_act_reduce,None,0.3333,2
params_se_cheb_2_se_act_reduce,tanh,0.3333,2
params_se_cheb_2_se_act_reduce,swish,0.3333,2
