"Parameter","Category","Fraction","Count"
params_conv1d_0_act,sigmoid,0.6552,38
params_conv1d_0_act,tanh,0.2586,15
params_conv1d_0_act,relu,0.0862,5
params_conv1d_1_act,swish,0.5517,32
params_conv1d_1_act,relu,0.2414,14
params_conv1d_1_act,sigmoid,0.1207,7
params_conv1d_1_act,tanh,0.0862,5
params_conv1d_2_act,swish,0.5862,34
params_conv1d_2_act,relu,0.3103,18
params_conv1d_2_act,tanh,0.0862,5
params_conv1d_2_act,sigmoid,0.0172,1
params_conv1d_3_act,sigmoid,0.9138,53
params_conv1d_3_act,relu,0.0345,2
params_conv1d_3_act,swish,0.0345,2
params_conv1d_3_act,tanh,0.0172,1
params_dense_1_act,sigmoid,0.8966,52
params_dense_1_act,tanh,0.0517,3
params_dense_1_act,relu,0.0345,2
params_dense_1_act,swish,0.0172,1
params_dense_2_act,sigmoid,0.7414,43
params_dense_2_act,tanh,0.1379,8
params_dense_2_act,relu,0.0862,5
params_dense_2_act,swish,0.0345,2
