Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,355.46,133.63,256,256,512,256,512
params_conv1d_0_kernel_size,2.13,0.34,2,2,2,2,3
params_conv1d_1_filters,380.43,136.61,512,256,512,256,512
params_conv1d_1_kernel_size,2.15,0.44,2,2,2,2,3
params_conv1d_2_filters,257.78,177.41,256,64,512,64,512
params_conv1d_2_kernel_size,4.38,0.84,4,4,5,3,6
params_conv1d_3_filters,192.22,66.74,256,128,256,128,256
params_conv1d_3_kernel_size,4.08,0.43,4,4,4,4,5
params_dense_0_dropout,4.76e-02,9.72e-02,0,0,0.1,0,0.3
params_dense_0_units,315.91,79.03,350,250,400,200,400
params_dense_1_dropout,0.33,0.11,0.4,0.2,0.4,0.2,0.4
params_dense_1_units,304.29,22.79,300,300,300,300,350
params_lr,3.73e-05,5.40e-06,3.66e-05,3.49e-05,3.82e-05,3.21e-05,4.45e-05
params_num_dense_layers,1.97,0.18,2,2,2,2,2
params_pool_size_1,2.06,0.43,2,2,2,2,2
params_pool_size_2,3.11,0.4,3,3,3,3,4
params_pool_size_3,3.77,0.5,4,4,4,3,4
