,param_count
num_conv_layers,0.4296440363473255
conv1d_1_filters,0.4191249645532793
conv1d_0_filters,0.37237116787000807
conv1d_1_kernel_size,0.2839498247434986
dense_0_units,0.22595851783288703
num_dense_layers,0.11125284816853578
pool_size_1,0.07440192566787478
conv1d_0_kernel_size,0.06137492338678884
dense_0_dropout,-0.06061626322910924
learning_rate,0.05974793656083167
pool_size_0,0.0057844230466463
