param_count,model_size_mb,training_memory_mb,params
410195058,195.59624576568604,5788.613609313965,"{'num_conv_layers': 2, 'conv1d_0_filters': 128, 'conv1d_0_kernel_size': 3, 'conv1d_0_act': 'elu', 'pool_size_0': 1, 'conv1d_1_filters': 256, 'conv1d_1_kernel_size': 9, 'conv1d_1_act': 'relu', 'pool_size_1': 1, 'use_cnn_as_dense': True, 'num_dense_layers': 2, 'pooling_type': 'flatten', 'cnn_dense_0_filters': 450, 'cnn_dense_0_act': 'sigmoid', 'cnn_dense_1_filters': 400, 'cnn_dense_1_act': 'silu', 'optimizer': 'lion'}"
409809808,195.41254425048828,5784.204772949219,"{'num_conv_layers': 2, 'conv1d_0_filters': 128, 'conv1d_0_kernel_size': 9, 'conv1d_0_act': 'sigmoid', 'pool_size_0': 1, 'conv1d_1_filters': 256, 'conv1d_1_kernel_size': 3, 'conv1d_1_act': 'elu', 'pool_size_1': 1, 'use_cnn_as_dense': False, 'num_dense_layers': 1, 'pooling_type': 'flatten', 'dense_0_units': 400, 'dense_0_dropout': 0.4, 'dense_0_act': 'gelu', 'optimizer': 'adamw'}"
410136664,195.56840133666992,5782.718292236328,"{'num_conv_layers': 3, 'conv1d_0_filters': 512, 'conv1d_0_kernel_size': 7, 'conv1d_0_act': 'relu', 'pool_size_0': 1, 'conv1d_1_filters': 64, 'conv1d_1_kernel_size': 9, 'conv1d_1_act': 'relu', 'pool_size_1': 1, 'conv1d_2_filters': 512, 'conv1d_2_kernel_size': 5, 'conv1d_2_act': 'gelu', 'pool_size_2': 3, 'use_cnn_as_dense': False, 'num_dense_layers': 1, 'pooling_type': 'flatten', 'dense_0_units': 600, 'dense_0_dropout': 0.4, 'dense_0_act': 'elu', 'optimizer': 'lion'}"
410109588,195.5554904937744,5779.825912475586,"{'num_conv_layers': 1, 'conv1d_0_filters': 256, 'conv1d_0_kernel_size': 3, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'use_cnn_as_dense': True, 'num_dense_layers': 3, 'pooling_type': 'flatten', 'cnn_dense_0_filters': 400, 'cnn_dense_0_act': 'tanh', 'cnn_dense_1_filters': 500, 'cnn_dense_1_act': 'relu', 'cnn_dense_2_filters': 400, 'cnn_dense_2_act': 'gelu', 'optimizer': 'lion'}"
410066070,195.53473949432373,5779.3205642700195,"{'num_conv_layers': 2, 'conv1d_0_filters': 64, 'conv1d_0_kernel_size': 9, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'conv1d_1_filters': 512, 'conv1d_1_kernel_size': 3, 'conv1d_1_act': 'silu', 'pool_size_1': 2, 'use_cnn_as_dense': False, 'num_dense_layers': 2, 'pooling_type': 'flatten', 'dense_0_units': 400, 'dense_0_dropout': 0.4, 'dense_0_act': 'none', 'dense_1_units': 550, 'dense_1_dropout': 0.2, 'dense_1_act': 'elu', 'optimizer': 'adam'}"
409901938,195.45647525787354,5769.637046813965,"{'num_conv_layers': 1, 'conv1d_0_filters': 256, 'conv1d_0_kernel_size': 3, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'use_cnn_as_dense': True, 'num_dense_layers': 2, 'pooling_type': 'flatten', 'cnn_dense_0_filters': 450, 'cnn_dense_0_act': 'sigmoid', 'cnn_dense_1_filters': 400, 'cnn_dense_1_act': 'elu', 'optimizer': 'adamw'}"
409663320,195.34269332885742,5746.064483642578,"{'num_conv_layers': 1, 'conv1d_0_filters': 512, 'conv1d_0_kernel_size': 3, 'conv1d_0_act': 'elu', 'pool_size_0': 3, 'use_cnn_as_dense': False, 'num_dense_layers': 1, 'pooling_type': 'flatten', 'dense_0_units': 600, 'dense_0_dropout': 0.2, 'dense_0_act': 'elu', 'optimizer': 'adamw'}"
375592764,179.096586227417,5361.364944458008,"{'num_conv_layers': 1, 'conv1d_0_filters': 512, 'conv1d_0_kernel_size': 5, 'conv1d_0_act': 'gelu', 'pool_size_0': 3, 'use_cnn_as_dense': False, 'num_dense_layers': 2, 'pooling_type': 'flatten', 'dense_0_units': 550, 'dense_0_dropout': 0.2, 'dense_0_act': 'relu', 'dense_1_units': 250, 'dense_1_dropout': 0.2, 'dense_1_act': 'elu', 'optimizer': 'lion'}"
362479328,172.84361267089844,5265.9674072265625,"{'num_conv_layers': 3, 'conv1d_0_filters': 256, 'conv1d_0_kernel_size': 3, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'conv1d_1_filters': 512, 'conv1d_1_kernel_size': 9, 'conv1d_1_act': 'tanh', 'pool_size_1': 1, 'conv1d_2_filters': 512, 'conv1d_2_kernel_size': 9, 'conv1d_2_act': 'silu', 'pool_size_2': 1, 'use_cnn_as_dense': True, 'num_dense_layers': 3, 'pooling_type': 'flatten', 'cnn_dense_0_filters': 350, 'cnn_dense_0_act': 'relu', 'cnn_dense_1_filters': 500, 'cnn_dense_1_act': 'tanh', 'cnn_dense_2_filters': 350, 'cnn_dense_2_act': 'silu', 'optimizer': 'adam'}"
341720364,162.94496726989746,4971.122573852539,"{'num_conv_layers': 1, 'conv1d_0_filters': 512, 'conv1d_0_kernel_size': 5, 'conv1d_0_act': 'elu', 'pool_size_0': 3, 'use_cnn_as_dense': False, 'num_dense_layers': 2, 'pooling_type': 'flatten', 'dense_0_units': 500, 'dense_0_dropout': 0.2, 'dense_0_act': 'silu', 'dense_1_units': 600, 'dense_1_dropout': 0.0, 'dense_1_act': 'relu', 'optimizer': 'rmsprop'}"
308183636,146.9534091949463,4644.620101928711,"{'num_conv_layers': 2, 'conv1d_0_filters': 256, 'conv1d_0_kernel_size': 5, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'conv1d_1_filters': 256, 'conv1d_1_kernel_size': 7, 'conv1d_1_act': 'sigmoid', 'pool_size_1': 1, 'use_cnn_as_dense': False, 'num_dense_layers': 3, 'pooling_type': 'flatten', 'dense_0_units': 300, 'dense_0_dropout': 0.2, 'dense_0_act': 'elu', 'dense_1_units': 400, 'dense_1_dropout': 0.4, 'dense_1_act': 'gelu', 'dense_2_units': 600, 'dense_2_dropout': 0.0, 'dense_2_act': 'elu', 'optimizer': 'adam'}"
