rank: 5
trial_id: 165
loss: 1.2044646739959717
val_accuracy: 0.6627551317214966
train_accuracy: 0.7353259921073914
test_accuracy: 0.48765304684638977
sampler: TPESampler
Parameters:
  cnn_pool_size_dim1_0: 2
  cnn_pool_size_dim2_0: 1
  cnn_filters_layer_0: 60
  cnn_kernel_height_0: 1
  cnn_kernel_width_0: 3
  cnn_activation_layer_0: relu
  cnn_use_batch_norm_layer_0: False
  cnn_pool_size_dim1_1: 2
  cnn_pool_size_dim2_1: 3
  cnn_filters_layer_1: 92
  cnn_kernel_height_1: 1
  cnn_kernel_width_1: 1
  cnn_activation_layer_1: swish
  cnn_use_batch_norm_layer_1: False
  cnn_pool_size_dim1_2: 2
  cnn_pool_size_dim2_2: 2
  cnn_filters_layer_2: 88
  cnn_kernel_height_2: 6
  cnn_kernel_width_2: 4
  cnn_activation_layer_2: swish
  cnn_use_batch_norm_layer_2: False
  cnn_pool_size_dim1_3: 1
  cnn_pool_size_dim2_3: 1
  cnn_filters_layer_3: 100
  cnn_kernel_height_3: 4
  cnn_kernel_width_3: 7
  cnn_activation_layer_3: relu
  cnn_use_batch_norm_layer_3: True
  num_dense_layers: 2
  dense_1_units: 384
  dense_1_activation: elu
  dense_2_units: 320
  dense_2_activation: relu
  optimizer: AdamW
  learning_rate: 0.0003423685461739004
  batch_size: 32
