"Parameter","Category","Fraction","Count"
params_conv1d_0_act,swish,0.6154,24
params_conv1d_0_act,relu,0.2821,11
params_conv1d_0_act,tanh,0.1026,4
params_conv1d_1_act,swish,0.7179,28
params_conv1d_1_act,relu,0.1538,6
params_conv1d_1_act,tanh,0.1282,5
params_conv1d_2_act,swish,0.7436,29
params_conv1d_2_act,tanh,0.1795,7
params_conv1d_2_act,relu,0.0769,3
params_conv1d_3_act,relu,0.5641,22
params_conv1d_3_act,swish,0.3333,13
params_conv1d_3_act,tanh,0.1026,4
params_dense_0_act,swish,0.5758,19
params_dense_0_act,relu,0.3333,11
params_dense_0_act,tanh,0.0909,3
params_dense_1_act,swish,0.7273,8
params_dense_1_act,tanh,0.1818,2
params_dense_1_act,relu,0.0909,1
params_ffn_activation,relu,0.5128,20
params_ffn_activation,tanh,0.4103,16
params_ffn_activation,swish,0.0769,3
