"Parameter","Mean","Std","Min","25%","Median","75%","Max"
params_batch_size,61.64341085271318,9.402292314919475,16,64,64,64,64
params_cnn_filters_layer_0,247.36035049288063,82.98770282957379,32,192,240,304,512
params_cnn_kernel_height,1.2595837897042717,0.9525350766208447,1,1,1,1,7
params_cnn_kernel_width,5.330777656078861,0.9923529697228428,1,5,5,6,7
params_learning_rate,0.0020467910807026547,0.0006618873689296209,0.0006561913885232264,0.0018541143873722556,0.0022463388072298165,0.002524363111428075,0.002990995889811603
params_pool_dim1,5.325301204819277,1.7378606347205365,2,5,5,5,10
params_pool_dim2,4.492880613362541,2.1860311419315055,2,3,3,5,10
