"epoch","train_loss","val_loss","train_accuracy","val_accuracy"
1,3.628298044204712,4.25734281539917,0.19207146763801575,0.20398367941379547
2,2.5995426177978516,3.00957989692688,0.31312116980552673,0.1754259616136551
3,2.248267650604248,2.6970505714416504,0.38090452551841736,0.2512598931789398
4,2.0191221237182617,2.527243137359619,0.434282511472702,0.3153347671031952
5,1.8426179885864258,2.2891268730163574,0.48263540863990784,0.40412765741348267
6,1.6908900737762451,2.25877046585083,0.52216637134552,0.4130069613456726
7,1.5532052516937256,2.225224733352661,0.5573422908782959,0.43532517552375793
8,1.4139198064804077,2.3795549869537354,0.5931881666183472,0.42044636607170105
9,1.2839722633361816,2.4712278842926025,0.6316024661064148,0.4281257390975952
10,1.1544749736785889,2.6611785888671875,0.6705750823020935,0.4098871946334839
11,1.035558819770813,2.855511426925659,0.7028475999832153,0.3988480865955353
12,0.9336795806884766,2.9895641803741455,0.7290899157524109,0.40940725803375244
13,0.7827984690666199,3.090270519256592,0.7738693356513977,0.41084712743759155
14,0.6934349536895752,3.24440598487854,0.804578423500061,0.39140868186950684
15,0.6328079700469971,3.3628952503204346,0.8236739039421082,0.3966882526874542
16,0.5815723538398743,3.4940693378448486,0.8419877290725708,0.39572834968566895
17,0.5343199372291565,3.6196365356445312,0.8596314787864685,0.3966882526874542
