"Parameter","Category","Fraction","Count"
params_conv1d_0_act,sigmoid,0.6379,37
params_conv1d_0_act,tanh,0.2241,13
params_conv1d_0_act,relu,0.1034,6
params_conv1d_0_act,swish,0.0345,2
params_conv1d_1_act,swish,0.569,33
params_conv1d_1_act,relu,0.1897,11
params_conv1d_1_act,sigmoid,0.1379,8
params_conv1d_1_act,tanh,0.1034,6
params_conv1d_2_act,swish,0.5862,34
params_conv1d_2_act,relu,0.2759,16
params_conv1d_2_act,tanh,0.1034,6
params_conv1d_2_act,sigmoid,0.0345,2
params_conv1d_3_act,sigmoid,0.7759,45
params_conv1d_3_act,swish,0.1207,7
params_conv1d_3_act,relu,0.069,4
params_conv1d_3_act,tanh,0.0345,2
params_dense_1_act,sigmoid,0.8103,47
params_dense_1_act,relu,0.069,4
params_dense_1_act,swish,0.069,4
params_dense_1_act,tanh,0.0517,3
params_dense_2_act,sigmoid,0.7759,45
params_dense_2_act,relu,0.0862,5
params_dense_2_act,swish,0.069,4
params_dense_2_act,tanh,0.069,4
