Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,461.38,37.62,440,440,480,440,520
params_conv1d_0_kernel_size,6.38,1.61,6,6,6,4,10
params_conv1d_1_filters,349.66,82.61,400,320,400,200,400
params_conv1d_1_kernel_size,3,2.26,2,2,2,2,8
params_conv1d_2_filters,448.97,56.59,440,400,440,400,600
params_conv1d_2_kernel_size,7.97,1.85,8,8,8,4,10
params_conv1d_3_filters,86.55,26.53,70,70,110,70,150
params_conv1d_3_kernel_size,11.24,1.9,12,12,12,7.7,12
params_dense_1_dropout,0.16,6.44e-02,0.2,0.1,0.2,0,0.2
params_dense_1_units,168.1,49.29,150,150,150,150,257.5
params_dense_2_dropout,0.13,6.59e-02,0.1,0.1,0.18,0.1,0.3
params_dense_2_units,261.21,71.35,250,200,350,200,400
params_lr,5.61e-05,1.10e-04,1.19e-05,1.08e-05,1.50e-05,1.00e-05,3.61e-04
params_pool_size_0,3.12,0.59,3,3,3,2.85,5
params_pool_size_1,4.71,0.77,5,5,5,2.85,5
params_pool_size_2,3.07,0.49,3,3,3,2.85,4
params_pool_size_3,4,0.77,4,4,4,2,5
