Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cheb_0_dropout,0.32,0.17,0.3,0.2,0.48,0.12,0.5
params_cheb_0_units,153.33,141.8,100.0,50.0,210.0,40,360.0
params_cheb_1_dropout,0.35,0.21,0.45,0.25,0.5,5.00e-02,0.5
params_cheb_1_units,133.33,54.65,120.0,120.0,120.0,90,210.0
params_cheb_2_dropout,0.18,0.24,0.1,0.0,0.28,0,0.45
params_cheb_2_units,230.0,75.72,260.0,210.0,280.0,138,280.0
params_cheb_3_dropout,0.25,0.21,0.25,0.18,0.32,0.12,0.38
params_cheb_3_units,100.0,28.28,100.0,90.0,110.0,82,118.0
params_dense_0_dropout,0.25,0.1,0.2,0.2,0.25,0.2,0.37
params_dense_0_units,387.5,75.0,350.0,350.0,387.5,350,477.5
params_dense_1_dropout,0.2,0.0,0.2,0.2,0.2,0.2,0.2
params_dense_1_units,487.5,131.5,525.0,450.0,562.5,330,592.5
params_dense_2_dropout,0.2,0.2,0.2,0.1,0.3,2.00e-02,0.38
params_dense_2_units,350.0,50.0,350.0,325.0,375.0,305,395.0
params_knn_k,10.0,3.35,8.0,8.0,11.0,8,15.0
params_num_dense_layers,1.83,1.47,2.5,0.5,3.0,0,3.0
params_num_gnn_layers,3.0,0.89,3.0,2.25,3.75,2,4.0
