Parameter,Category,Fraction,Count
params_conv1d_0_act,swish,0.4138,12
params_conv1d_0_act,relu,0.3793,11
params_conv1d_0_act,tanh,0.1379,4
params_conv1d_0_act,None,0.069,2
params_conv1d_1_act,relu,0.7778,21
params_conv1d_1_act,tanh,0.1111,3
params_conv1d_1_act,swish,0.0741,2
params_conv1d_1_act,None,0.037,1
params_conv1d_2_act,tanh,0.84,21
params_conv1d_2_act,relu,0.08,2
params_conv1d_2_act,None,0.08,2
params_conv1d_3_act,relu,0.8889,16
params_conv1d_3_act,tanh,0.0556,1
params_conv1d_3_act,None,0.0556,1
params_dense_0_act,swish,0.5385,14
params_dense_0_act,tanh,0.3846,10
params_dense_0_act,relu,0.0385,1
params_dense_0_act,None,0.0385,1
params_dense_1_act,None,0.7368,14
params_dense_1_act,tanh,0.1579,3
params_dense_1_act,swish,0.1053,2
params_dense_2_act,None,0.6667,4
params_dense_2_act,swish,0.1667,1
params_dense_2_act,tanh,0.1667,1
params_se_0_se_act_expand,swish,0.4138,12
params_se_0_se_act_expand,relu,0.2759,8
params_se_0_se_act_expand,tanh,0.2414,7
params_se_0_se_act_expand,None,0.069,2
params_se_0_se_act_reduce,None,0.3448,10
params_se_0_se_act_reduce,swish,0.3103,9
params_se_0_se_act_reduce,relu,0.2414,7
params_se_0_se_act_reduce,tanh,0.1034,3
params_se_1_se_act_expand,None,0.8889,24
params_se_1_se_act_expand,tanh,0.0741,2
params_se_1_se_act_expand,relu,0.037,1
params_se_1_se_act_reduce,swish,0.8148,22
params_se_1_se_act_reduce,None,0.0741,2
params_se_1_se_act_reduce,relu,0.0741,2
params_se_1_se_act_reduce,tanh,0.037,1
params_se_2_se_act_expand,None,0.56,14
params_se_2_se_act_expand,swish,0.2,5
params_se_2_se_act_expand,relu,0.12,3
params_se_2_se_act_expand,tanh,0.12,3
params_se_2_se_act_reduce,swish,0.8,20
params_se_2_se_act_reduce,relu,0.08,2
params_se_2_se_act_reduce,tanh,0.08,2
params_se_2_se_act_reduce,None,0.04,1
params_se_3_se_act_expand,swish,0.8889,16
params_se_3_se_act_expand,None,0.0556,1
params_se_3_se_act_expand,relu,0.0556,1
params_se_3_se_act_reduce,tanh,0.8889,16
params_se_3_se_act_reduce,None,0.0556,1
params_se_3_se_act_reduce,relu,0.0556,1
