Parameter,Category,Fraction,Count
params_conv1d_0_act,none,0.4386,25
params_conv1d_0_act,elu,0.2807,16
params_conv1d_0_act,gelu,0.2456,14
params_conv1d_0_act,silu,0.0175,1
params_conv1d_0_act,relu,0.0175,1
params_conv1d_1_act,elu,0.5439,31
params_conv1d_1_act,none,0.2456,14
params_conv1d_1_act,silu,0.1053,6
params_conv1d_1_act,relu,0.0877,5
params_conv1d_1_act,gelu,0.0175,1
params_dense_0_act,sigmoid,1.0,57
params_pooling_type,max,1.0,57
