Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,484.57,93.85,512,512,512,211.2,512
params_conv1d_0_kernel_size,2.98,0.13,3,3,3,3,3
params_conv1d_1_filters,282.12,91.51,256,256,256,256,512
params_conv1d_1_kernel_size,3.62,0.53,4,3,4,3,4
params_conv1d_2_filters,273.85,105.56,256,256,256,64,512
params_conv1d_2_kernel_size,3.15,0.71,3,3,3,3,4
params_conv1d_3_filters,128.87,34.66,128,128,128,64,172.8
params_conv1d_3_kernel_size,3.23,0.53,3,3,3,3,4
params_dense_0_dropout,0.49,6.09e-02,0.5,0.5,0.5,0.4,0.5
params_dense_0_units,344.18,24.18,350,350,350,300,350
params_dense_1_dropout,0.3,8.16e-02,0.3,0.28,0.33,0.22,0.38
params_dense_1_units,225,50,200,200,225,200,285
params_ffn_units,253.82,104.93,256,256,256,128,512
params_key_dim,50.29,15.86,64,32,64,32,64
params_lr,5.74e-05,1.15e-05,6.11e-05,5.43e-05,6.47e-05,3.21e-05,7.00e-05
params_num_dense_layers,1.01,0.14,1,1,1,1,1
params_num_heads,5.92,2.0,4,4,8,4,8
params_pool_size_1,4.89,0.57,5,5,5,5,5
params_pool_size_2,3.23,0.46,3,3,3.75,3,4
params_pool_size_3,3.84,0.48,4,4,4,3,4
