Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,238.93,183.37,128.0,96,384.0,64.0,512.0
params_conv1d_0_kernel_size,6.67,2.58,6.0,6,8.0,3.4,10.6
params_conv1d_1_filters,162.13,83.33,128.0,96,256.0,64.0,256.0
params_conv1d_1_kernel_size,6.53,2.67,6.0,4,9.0,3.4,10.0
params_conv1d_2_filters,256,94.53,256.0,256,256.0,128.0,371.2
params_conv1d_2_kernel_size,9.67,2.81,10.0,9.5,12.0,5.3,12.0
params_conv1d_3_filters,192,73.9,192.0,128,256.0,128.0,256.0
params_conv1d_3_kernel_size,10,2.83,11.0,9,12.0,6.6,12.0
params_dense_0_dropout,6.15e-02,0.13,0.0,0,0.0,0.0,0.28
params_dense_0_units,373.08,75.32,350.0,300,450.0,300.0,500.0
params_dense_1_dropout,0.31,0.14,0.4,0.2,0.4,0.1,0.4
params_dense_1_units,304.55,96.06,250.0,250,325.0,250.0,475.0
params_dense_2_dropout,0.13,0.1,0.2,5.00e-02,0.2,0.0,0.2
params_dense_2_units,350,144.91,275.0,250,412.5,250.0,562.5
params_num_conv_layers,3.07,0.7,3.0,3,3.5,2.0,4.0
params_num_dense_layers,2,1.07,2.0,1.5,3.0,0.0,3.0
params_pool_size_0,3.73,2.19,3.0,2,5.0,2.0,7.3
params_pool_size_1,6.4,1.68,7.0,6.5,7.0,2.7,8.0
params_pool_size_2,3.17,1.03,3.0,3,3.0,2.0,4.9
params_pool_size_3,2.75,0.96,2.5,2,3.25,2.0,3.85
