Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cnn_dense_0_filters,320.0,57.01,300.0,300.0,350.0,260.0,390.0
params_cnn_dense_1_filters,275.0,35.36,275.0,262.5,287.5,252.5,297.5
params_cnn_dense_2_filters,350.0,,350.0,350.0,350.0,350.0,350.0
params_conv1d_0_filters,193.1,88.5,256.0,128.0,256.0,64.0,256.0
params_conv1d_0_kernel_size,3.48,1.26,3.0,3.0,3.0,3.0,7.0
params_conv1d_1_filters,215.17,193.56,96.0,64.0,512.0,64.0,512.0
params_conv1d_1_kernel_size,3.55,1.49,3.0,3.0,3.0,3.0,7.3
params_conv1d_2_filters,344.0,204.06,512.0,64.0,512.0,64.0,512.0
params_conv1d_2_kernel_size,6.96,0.89,7.0,7.0,7.0,5.0,9.0
params_conv1d_3_filters,187.26,182.66,64.0,64.0,256.0,64.0,512.0
params_conv1d_3_kernel_size,7.3,0.82,7.0,7.0,7.0,7.0,9.0
params_dense_0_dropout,0.28,0.14,0.4,0.2,0.4,0.0,0.4
params_dense_0_units,491.35,106.97,550.0,450.0,562.5,277.5,600.0
params_dense_1_dropout,0.2,0.0,0.2,0.2,0.2,0.2,0.2
params_dense_1_units,450.0,0.0,450.0,450.0,450.0,450.0,450.0
params_dense_2_dropout,0.0,0.0,0.0,0.0,0.0,0.0,0.0
params_dense_2_units,400.0,0.0,400.0,400.0,400.0,400.0,400.0
params_num_conv_layers,3.9,0.41,4.0,4.0,4.0,3.0,4.0
params_num_dense_layers,1.14,0.51,1.0,1.0,1.0,1.0,2.15
params_pool_size_0,2.84,0.74,3.0,3.0,3.0,1.0,4.0
params_pool_size_1,2.84,0.7,3.0,3.0,3.0,1.0,4.0
params_pool_size_2,3.48,0.74,4.0,3.0,4.0,2.0,4.0
params_pool_size_3,2.37,1.03,3.0,1.0,3.0,1.0,4.0
