"epoch","train_loss","val_loss","train_accuracy","val_accuracy"
1,3.45544695854187,5.726316928863525,0.2512562870979309,0.008159346878528595
2,2.7259864807128906,4.3462748527526855,0.31836962699890137,0.044636428356170654
3,2.3825297355651855,3.1511049270629883,0.3744277060031891,0.20806334912776947
4,2.1372458934783936,2.1004340648651123,0.41786712408065796,0.44924405217170715
5,1.9765619039535522,1.879197359085083,0.45739808678627014,0.5046796202659607
6,1.8303852081298828,1.805445671081543,0.4895589053630829,0.5322774052619934
7,1.6951206922531128,1.785948395729065,0.5195980072021484,0.5365970730781555
8,1.565558671951294,1.7728157043457031,0.5480737090110779,0.5461962819099426
9,1.459204912185669,1.7958484888076782,0.5625907182693481,0.5341972708702087
10,1.3540496826171875,1.8269195556640625,0.5935231447219849,0.5368370413780212
11,1.2529337406158447,1.8298624753952026,0.6198771595954895,0.5401967763900757
12,1.1441806554794312,1.8658567667007446,0.650139570236206,0.5373170375823975
13,1.0558446645736694,1.9434329271316528,0.6689000725746155,0.5313174724578857
14,0.9243022799491882,1.9102376699447632,0.7130094766616821,0.5423566102981567
15,0.8538132309913635,1.9242877960205078,0.7322166562080383,0.5382769107818604
16,0.7832372188568115,1.9612126350402832,0.7536571621894836,0.5401967763900757
17,0.7619262337684631,1.969406247138977,0.7606923580169678,0.5413966774940491
18,0.727165699005127,1.9876126050949097,0.7749860286712646,0.5411567091941833
