Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,204,102.09,128.0,128.0,256.0,128,371.2
params_conv1d_0_kernel_size,9.31,2.86,10.0,6.0,12.0,4,12.0
params_conv1d_1_filters,224,122.55,256.0,128.0,256.0,86.4,512.0
params_conv1d_1_kernel_size,5.71,2.65,6.0,4.0,8.0,2,10.0
params_conv1d_2_filters,125.09,114.28,64.0,64.0,128.0,64,256.0
params_conv1d_2_kernel_size,8.73,2.35,9.0,8.0,10.0,6,12.0
params_conv1d_3_filters,133.33,42.79,128.0,128.0,128.0,99.2,185.6
params_conv1d_3_kernel_size,2.5,0.9,2.0,2.0,2.5,2,4.0
params_dense_0_dropout,0.19,9.48e-02,0.2,0.2,0.2,0,0.4
params_dense_0_units,512.5,77.25,500.0,450.0,600.0,400,600.0
params_dense_1_dropout,9.03e-02,0.14,0.0,0.0,0.2,0,0.4
params_dense_1_units,440.32,76.83,450.0,400.0,500.0,275,525.0
params_dense_2_dropout,0.26,0.12,0.2,0.2,0.4,3.00e-02,0.4
params_dense_2_units,291.67,43.41,300.0,250.0,300.0,250,350.0
params_num_conv_layers,2.94,1.05,3.0,2.0,4.0,1,4.0
params_num_dense_layers,2.78,0.42,3.0,3.0,3.0,2,3.0
params_pool_size_0,6.84,1.32,7.0,6.0,8.0,4.55,8.0
params_pool_size_1,3.82,1.66,3.5,2.0,5.0,2,6.0
params_pool_size_2,5.14,1.04,5.0,5.0,6.0,4,6.0
params_pool_size_3,7.33,1.72,8.0,7.75,8.0,4.75,8.0
