Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,250.39,185.13,256,64,256,64,512
params_conv1d_0_kernel_size,4.88,1.51,5,4,5,3,9
params_conv1d_1_filters,198.4,213.68,128,128,128,128,537.6
params_conv1d_1_kernel_size,2.65,2.23,2,2,2,1,9
params_dense_0_dropout,8.30e-02,9.95e-02,0.1,0,0.1,0,0.2
params_dense_0_units,278.3,111.05,300,200,375,65,400
params_learning_rate,4.29e-03,2.40e-03,3.84e-03,3.03e-03,5.91e-03,6.31e-04,8.77e-03
params_num_conv_layers,1.35,0.48,1,1,2,1,2
params_num_dense_layers,0.93,0.26,1,1,1,0,1
params_pool_size_0,1.65,0.58,2,1,2,1,2
params_pool_size_1,2.45,1.43,2.5,1,4,1,4
